CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2011008319,3.0,4,3.0,877.0,67,N,3,2,6001.0,180.0,40.0,ROOSEVELT BL
2011008449,,4,1.0,,67,E,3,4,,,35.0,WOLF ST
2010105013,,4,1.0,,67,N,5,4,,,,E ST
2011008342,,5,1.0,,67,N,5,4,,,15.0,G ST
2010044457,,3,1.0,,67,S,4,4,,,,CONESTOGA ST
2011016927,,5,2.0,,67,W,5,4,,,,CLEARVIEW ST
2011001012,,4,2.0,,67,N,4,4,,,25.0,WALNUT LN
2010058958,3.0,3,2.0,9.0,67,E,3,2,2008.0,70.0,30.0,GIRARD AV
2010044821,3.0,3,3.0,1105.0,67,S,3,2,3007.0,31.0,30.0,BENJAMIN FRANKLIN PY
2011000805,3.0,3,2.0,2938.0,67,S,3,2,611.0,181.0,30.0,OLD YORK RD
2011000935,,4,2.0,,67,S,5,4,,,25.0,SEVENTIETH ST
2010042636,1.0,3,2.0,5530.0,67,W,3,1,76.0,3445.0,50.0,SCHUYLKILL EX
2010058903,,3,1.0,,67,E,3,4,,,25.0,HOWELL ST
2011023479,1.0,3,4.0,2607.0,67,N,3,1,95.0,300.0,55.0,DELAWARE EX
2011025297,,4,2.0,,67,E,3,4,,,,SUSQUEHANNA ST
2011025861,3.0,4,2.0,1165.0,67,S,4,2,1009.0,71.0,25.0,BUSTLETON AV
2010039147,3.0,3,2.0,122.0,67,E,3,2,3012.0,10.0,35.0,LANCASTER AV
2011000909,,3,2.0,,67,N,3,4,,,25.0,FIFTH ST
2010039192,,3,2.0,,67,S,4,4,,,25.0,FORTYEIGHTH ST
2011000923,3.0,3,2.0,786.0,67,E,3,2,2008.0,40.0,30.0,GIRARD AV
2011025766,,3,2.0,,67,S,4,4,,,,LESTER RD
2010038766,,6,2.0,,67,E,6,4,,,,BERKS ST
2010012403,,4,1.0,,67,N,3,4,,,25.0,TWENTIETH ST
2010021706,3.0,4,2.0,650.0,67,W,4,2,2014.0,51.0,25.0,LEHIGH AV
2010094135,3.0,3,2.0,542.0,67,N,3,2,1013.0,100.0,35.0,ACADEMY RD
2010122543,3.0,7,2.0,0.0,67,S,7,2,2009.0,121.0,30.0,HARBISON AV
2010074658,,4,2.0,,67,E,3,4,,,,CHELTENHAM ST
2010110761,3.0,6,2.0,2217.0,67,W,6,2,2006.0,91.0,25.0,SPRING GARDEN ST
2010093661,,4,2.0,,67,W,4,4,,,,WYALUSING AV
2010044728,,4,2.0,,67,S,4,4,,,25.0,SIXTYFIRST ST
2010021685,,4,2.0,,67,N,5,4,,,,TABOR RD
2010094082,3.0,5,2.0,641.0,67,N,5,2,1009.0,14.0,25.0,BRIDGE ST
2010070755,,4,2.0,,67,E,5,4,,,,THIRD ST
2010039220,3.0,3,2.0,2727.0,67,W,3,2,2014.0,40.0,30.0,LEHIGH AV
2010118091,,4,1.0,,67,W,3,4,,,,GILHAM ST
2010111475,,4,1.0,,67,S,3,4,,,25.0,TENTH ST
2010102517,3.0,3,3.0,0.0,67,N,3,2,1.0,240.0,40.0,ROOSEVELT BL
2010032101,1.0,3,1.0,627.0,67,S,3,2,8007.0,20.0,25.0,RAMP RD
2010064781,3.0,3,2.0,861.0,67,W,3,2,2002.0,50.0,25.0,SNYDER AV
2010098320,1.0,3,1.0,66.0,67,S,3,2,8017.0,250.0,35.0,RAMP RD
2010081938,,3,2.0,,67,E,4,4,,,,MANHEIM ST
2010094222,3.0,4,2.0,788.0,67,W,4,2,2014.0,51.0,25.0,LEHIGH AV
2010038725,,5,2.0,,67,W,5,4,,,,WYOMING AV
2010019432,3.0,3,4.0,666.0,67,N,3,2,611.0,20.0,30.0,BROAD ST
2010039243,3.0,5,2.0,0.0,67,N,5,2,4007.0,10.0,25.0,CLARISSA ST
2010113291,,3,1.0,,67,W,3,4,,,,SHUNK ST
2010044694,,3,1.0,,67,W,4,4,,,,MONMOUTH ST
