CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2010105912,834.0,2,0,0,0,0,0,0,0,0,4,0,,67,9,2010,5,39.9627,-75.2471,830.0,6,0,0,0,0,0,0,0,0,,0,0,0,8.0,1,1,1,,0,39 57:45.461,,0,75 14:48.589,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,,0,,1,0,0,3,2,,824.0,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2010099508,1111.0,1,0,0,1,0,0,0,0,0,4,0,,67,9,2010,7,39.9865,-75.1579,1108.0,6,0,0,0,0,0,1,0,0,1.0,0,0,0,11.0,1,1,1,,2,39 59:11.522,2.0,0,75 09:28.418,8,0,0,0,67301,1,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,,0,,0,0,0,3,2,N,1106.0,1,2,0,0,1,1,0,3,4,0,1,3,,N,,,,,,,,,,,
2010100908,1105.0,0,0,0,0,0,0,0,0,0,4,0,,67,9,2010,4,39.8993,-75.1755,1100.0,6,0,0,0,0,0,0,0,0,,0,0,0,10.0,1,2,2,,0,39 53:57.571,,0,75 10:31.755,8,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,,1,,0,0,1,3,2,,1050.0,2,2,0,0,0,2,0,3,4,0,2,3,,N,,,,,,,,,,,
2010094271,1635.0,1,0,0,0,0,0,0,0,0,8,0,,67,9,2010,6,40.0554,-75.1433,1629.0,6,0,0,0,0,0,0,0,0,,0,0,0,13.0,1,1,0,,0,40 03:19.461,,0,75 08:36.049,4,0,0,0,67301,1,0,0,N,1,0,0,2,67301,1,,1,1,,N,N,,0,,0,0,0,0,0,,1335.0,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2010110782,2105.0,2,0,0,0,0,0,0,0,0,2,0,,67,9,2010,4,40.0353,-75.1214,2102.0,6,0,0,0,0,1,0,0,0,9.0,0,0,0,21.0,3,5,1,,2,40 02:06.975,5.0,0,75 07:17.098,4,0,0,0,67301,0,0,0,N,0,0,0,5,67301,5,,1,1,,N,N,,1,,0,0,1,3,2,Y,2100.0,5,4,0,0,0,0,0,3,4,0,4,3,,N,,,,,,,,,,,
2010088887,1409.0,1,0,0,0,0,0,0,0,0,4,0,,67,8,2010,4,40.0808,-75.0286,1402.0,6,0,0,0,0,0,1,0,1,2.0,0,0,0,13.0,1,2,1,,1,40 04:50.725,5.0,0,75 01:42.964,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,,0,,2,0,1,3,2,N,1341.0,2,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2010110823,100.0,1,0,0,0,0,0,0,0,0,8,0,,67,10,2010,2,39.9762,-75.1193,34.0,6,0,0,0,0,0,0,0,0,,0,0,0,23.0,3,1,0,,0,39 58:34.260,,0,75 07:09.590,4,0,0,0,67301,1,0,0,,1,0,0,2,67301,1,,1,9,,,,,0,,0,0,0,0,0,,2350.0,1,2,0,0,0,0,0,3,4,0,1,7,5.0,N,,,,,,,,,,,
2010069713,228.0,1,0,0,0,0,0,0,0,0,1,1,,67,6,2010,2,40.0442,-75.0092,222.0,6,0,0,0,0,0,0,0,0,,0,1,0,2.0,3,1,0,,0,40 02:39.132,,0,75 00:33.061,4,0,0,0,67301,1,0,0,,0,0,0,2,67301,1,,4,1,,,,,0,,0,0,0,0,0,,218.0,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2010061524,1042.0,1,0,0,0,0,0,0,0,0,8,0,,67,5,2010,4,40.0398,-75.1445,1041.0,6,0,0,0,0,0,0,0,0,,0,0,0,10.0,8,1,1,,0,40 02:23.454,,0,75 08:40.429,8,0,0,0,67301,1,0,0,N,1,0,0,3,67301,0,,1,9,,N,N,,0,,0,0,0,3,2,,1040.0,1,2,0,0,0,1,0,3,4,0,1,7,,N,,,,,,,,,,,
2010061560,1822.0,2,0,0,0,0,0,0,0,0,1,0,,67,6,2010,4,,,1822.0,6,0,0,0,0,0,0,0,0,1.0,0,0,0,18.0,1,0,0,,1,,4.0,3,,0,0,0,0,67301,0,0,0,N,0,0,0,4,67501,0,,1,1,,N,N,,0,,0,0,1,2,8,N,1822.0,0,4,0,0,0,0,0,3,3,1,4,3,,N,,,,,,,,,,,
2010059004,1445.0,1,0,0,0,0,0,0,0,0,7,0,,67,5,2010,3,40.0526,-75.0867,1443.0,6,0,0,0,1,0,0,0,0,,0,0,0,14.0,1,1,0,,0,40 03:09.107,,0,75 05:12.257,8,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,2,9,,N,N,,0,,0,0,0,0,0,,1442.0,1,1,0,0,0,1,0,3,4,0,1,7,,N,,,,,,,,,,,
2010037963,1014.0,0,0,0,0,0,0,0,0,0,1,1,,67,4,2010,3,40.0154,-75.0537,951.0,6,0,0,0,0,0,1,0,0,,0,1,0,9.0,1,1,0,,0,40 00:55.237,,0,75 03:13.676,8,0,0,0,67301,0,0,0,N,0,0,0,3,68K01,0,,1,1,,N,N,,1,,0,0,1,0,0,,940.0,1,3,0,0,0,1,0,3,4,0,3,3,,N,,,,,,,,,,,
2010011609,1545.0,1,0,0,0,0,0,0,0,0,4,0,,67,1,2010,4,40.0591,-75.0751,1540.0,6,0,0,0,0,0,1,1,0,1.0,0,0,0,15.0,1,2,1,,2,40 03:32.738,7.0,0,75 04:30.305,4,0,0,0,67301,0,0,0,N,0,0,0,3,67301,2,,1,1,,N,N,,0,,0,0,1,3,3,Y,1535.0,2,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2010011623,920.0,1,0,0,0,0,0,1,0,0,5,1,,67,1,2010,6,39.9862,-75.1562,914.0,6,0,0,0,0,0,1,0,0,,0,0,0,2.0,3,0,0,,0,39 59:10.280,,0,75 09:22.193,9,0,0,0,67301,0,0,0,,0,0,0,3,67301,0,,1,9,,N,N,,0,,0,0,0,0,0,,245.0,0,2,0,0,0,0,1,3,4,0,2,7,5.0,N,,,,,,,,,,,
