CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2010021869,99,9,500 E LUZERNE ST UNIT D,,PHILADELPHIA,PA,99999,DIAMOND HUNTBACH CO CORP,9999999999,25999.0,,,,,N,,,,,,N,,,,,,,1,,9
2010026593,2,9,17TH AND ARSENAL BLVD,,HARRISBURG,PA,17120,PENNDOT,2152251415,58400.0,,,,,N,,,,,,N,,,,,,,2,,6
2010039169,99,1,920 BRUNSWICK ST,,BALTIMORE,MD,21223,RYDER,9999999999,,,,,,N,,,,,,,,,,,,,2,,9
2010068359,99,9,UNKNOWN,,UNKNOWN,PA,999999999,UNKNOWN,9999999999,80000.0,,,,,N,,,,,,N,,,,,,,2,,6
2010074469,99,1,PO BOX 10,,OAKLYN,NJ,8107,ROAD RUNNER TRANS,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,1,,8
2010105669,3,8,MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010124589,5,3,5109 BLEIGH AVE,,PHILADELPHIA,PA,19135,WB SERVICES LLC,2156243197,80000.0,,,,,N,,,,,,N,,,,,,,1,01314641,8
2010021444,99,7,25 SECOND ST,,LANSDOWNE,PA,19050,ACCURATE TRASH REMOVAL,9999999999,73280.0,,,,,N,,,,,,N,,,,,,,1,,5
2010028703,5,1,2ND AVE & 7TH ST,,ALTOONA,PA,16602,WARD TRUCKING LLC,8149440803,80000.0,,,,,N,,,,,,N,,,,,,,2,00084850,8
2010028703,2,1,170 N RADNOR CHESTER RD,,RADNOR,PA,19087,ENTERPRISE,6102548333,25500.0,,,,,N,,,,,,N,,,,,,,3,01493874,3
2010032804,99,8,1234 MARKET ST 14TH FL,14TH FIR,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,10
2010040856,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2010060256,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2010069852,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010074610,99,8,1234 MARKET ST,,PHILADELPHIA,PA,19107,SEPTA,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,1,,11
2010074797,99,8,1119 N BODINE ST,,PHILADELPHIA,PA,19123,76 CARRIAGE CO INC / PHILADELP,9999999999,999999.0,,,,,N,,,,,,U,,,,,,,1,,11
2010075584,2,1,6702 RT 130 NORTH,,PENNSAUKEN,NJ,8110,KSM AUTO & TRUCK RENTAL INC,4846842312,14250.0,,,,,N,,,,,,N,,,,,,,2,00866062,3
2010093464,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2011001706,2,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,26000.0,,,,,N,,,,,,N,,,,,,,2,,11
2011008890,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010018045,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010032749,99,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,10
2010044565,2,8,734 SCHUYLKILL AVE,,PHILADELPHIA,PA,19146,SCHOOL DISTRICT OF PHILADELPHIA,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,1,,11
2010061999,99,8,149 N 19TH ST,,PHILADELPHIA,PA,19107,SUPER LUXERY TOURS INC,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010072576,2,5,851 COUNTRYLINE RD,HUNTINGDON,VALLEY,PA,19006,JDM MATERIALS,8775366857,73280.0,,,,,N,,,,,,N,,,,,,,1,,9
2010073259,99,9,30 ASHLAND AVE,,SECANE,PA,19018,DOROTHY G LINCOLN DBA PEGS TOW,9999999999,18750.0,,,,,N,,,,,,,,,,,,,2,,9
2010077962,99,9,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999,,,,,,N,,,,,,N,,,,,,,2,,6
2010077970,5,3,7135 CENTENNIAL PLACE,,NASHVILLE,TN,37209,WESTERN EXPRESS,8003167160,80000.0,,,,,N,,,,,,N,,,,,,,1,00511412,8
2010081798,99,9,1206 LONGACRE BLVD,,YEADON,PA,19050,MARTIN DEXTER THOMPSON,9999999999,26000.0,,,,,N,,,,,,N,,,,,,,1,,9
2010083106,99,9,400TURNERWAY,,ASTON,PA,19014,QUICKWAY TRANSPORTATION,6104859555,65000.0,,,,,N,,,,,000215347,N,,,,,,,3,00813008,6
