CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2010032577,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2011001025,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010058911,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010059016,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2010060220,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062682,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010070722,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2010074667,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010088757,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2010094122,N,Y,U,Y,1.0,Y,Y,Y,N,1000.0,,,,,,,,N,N,,,,,1
2010099729,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010104937,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010113309,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010117729,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010028152,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010039158,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010048875,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010058981,U,U,U,N,0.0,N,N,U,U,99999.0,U,N,0.0,N,N,U,U,Y,U,,,,,1
2010062239,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062333,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010064774,Y,Y,U,Y,0.0,,,Y,N,1480.0,,,,,,,,N,N,,,,,1
2010074373,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010074543,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010088678,,,,,,,,,,,,,,,,,,,,N,N,N,U,1
2010088703,U,U,U,U,9.0,U,U,U,U,99999.0,U,U,0.0,N,N,U,U,Y,U,,,,,1
2010093727,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010098521,N,N,U,Y,1.0,Y,Y,Y,Y,250.0,,,,,,,,N,N,,,,,1
2010032648,N,Y,Y,Y,1.0,Y,Y,Y,Y,750.0,,,,,,,,N,N,,,,,1
2010040134,Y,Y,Y,Y,1.0,Y,Y,Y,Y,650.0,,,,,,,,N,N,,,,,1
2010044888,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010046311,U,U,U,U,9.0,U,U,U,U,99999.0,U,U,9.0,U,U,U,U,Y,U,,,,,2
2011024879,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2011046972,,,,,,,,,,,,,,,,,,,,U,U,U,U,1
2010064687,N,N,N,N,0.0,N,N,N,N,900.0,,,,,,,,N,N,,,,,2
2010064768,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2010069945,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010069965,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
