CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2011000965,2010,,0,MO,63W6,7.0,2
2010115666,2010,,0,,,7.0,1
2010031745,2010,,0,NJ,T34G8H,7.0,2
2010034195,2010,,0,,,7.0,2
2010037211,2010,,0,PA,PT2393F,7.0,2
2010051530,2010,,0,PA,UNKNOWN,3.0,1
2010090670,2010,,0,OH,TPG5019,7.0,1
2010025054,2010,,0,IA,TC6174,7.0,1
2010110934,2010,,0,TX,Y23926,7.0,1
2011008379,2010,,0,,60798,7.0,1
2010044806,2010,,0,,,9.0,2
2010069199,2010,,0,,IVI,,1
2010112750,2010,,0,PA,PT2212R,6.0,2
2010037963,2010,,0,OK,5588FA,6.0,1
2010038762,2010,,0,,,7.0,2
2010058753,2010,,0,,,1.0,1
2010117956,2010,,0,,RE10730,7.0,2
2011001093,2010,,0,,153Y258,7.0,2
2010056556,2010,,0,PA,XV58924,3.0,1
2010091153,2010,,0,IL,296419ST,7.0,3
2010099721,2010,,0,OK,Z63GLBP,7.0,2
2010020468,2010,,0,ME,1160253,7.0,1
2010028159,2010,,0,,,1.0,2
2010040119,2010,,0,NJ,TGC38E,7.0,2
2010041293,2010,,0,PA,PT4822P,7.0,2
2010048887,2010,,0,WI,S5I943,6.0,1
2010088868,2010,,0,,,6.0,1
2010019342,2010,,0,NY,FRHT-999,6.0,1
2010058039,2010,,0,IN,P201483,7.0,1
2010058748,2010,,0,PA,88IQH,6.0,2
2010124589,2010,,0,ZF,UNK,7.0,1
2011046972,2010,,0,MI,A0785M,7.0,2
2010046482,2010,,0,PA,PT0376G,7.0,2
2010093747,2010,,0,TN,R851660,7.0,3
2010104639,2010,,0,PA,XFS1482,7.0,3
2010105722,2010,,0,PA,MG9899B,6.0,2
2010098511,2010,,0,ME,1633873,7.0,3
2010100910,2010,,0,,,7.0,2
2010088853,2010,,0,PA,4273Z,7.0,2
2010096129,2010,,0,NE,158986,7.0,1
2010113749,2010,,0,,,7.0,1
2010125296,2010,,0,NJ,THU34G,7.0,2
2011000944,2010,,0,IN,T46623I,8.0,2
2010037538,2010,,0,MI,C107222,7.0,2
2010077967,2010,,0,NJ,T39-V8R,7.0,2
2011001730,2010,,0,NJ,THKWAB,7.0,1
2010122576,2010,,0,,,7.0,2
2010060945,2010,,0,ME,1472547,7.0,1
2010107696,2010,,0,PA,XCC5516,7.0,1
2010069713,2010,,0,,XV95WX,7.0,2
2010122514,2010,,0,PA,T89G5C,7.0,1
2010005005,2010,,0,ME,B116780,7.0,1
2010019976,2010,,0,ME,1523470,7.0,1
