CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2007009850,2006,,0,,,,1
2006053950,2006,,0,,T003B,6.0,3
2006054689,2006,,0,,,9.0,2
2006056445,2006,,0,PA,XR20N9,7.0,2
2006065746,2006,,0,,,8.0,4
2006101835,2006,,0,,,,2
2006102805,2006,,0,,,,1
2006114393,2006,,0,,X4237I3,3.0,2
2006126454,2006,,0,,U46,9.0,1
2007008860,2006,,0,,,6.0,1
2006062415,2006,,0,IL,T247134,7.0,1
2006079854,2006,,0,PA,GCX823G,7.0,2
2006084374,2006,,0,,9803J0,7.0,2
2006113865,2006,,0,PA,XBF0IY,3.0,1
2006018428,2006,,0,,,,3
2006033104,2006,,0,,,,1
2006053545,2006,,0,,,6.0,1
2006054631,2006,,0,,,6.0,2
2006056114,2006,,0,,,,1
2006069778,2006,,0,NY,60Z55PA,6.0,1
2006053636,2006,,0,,PT134YB,6.0,1
2006094900,2006,,0,OK,4333,6.0,1
2007009846,2006,,0,,,,2
2006056312,2006,,0,,I76OY,7.0,2
2006065536,2006,,0,,,,2
2006086086,2006,,0,,,3.0,1
2006092366,2006,,0,ME,ISI5ZG,6.0,2
2006112713,2006,,0,,Z9604,6.0,2
2006113370,2006,,0,,,7.0,1
2006126812,2006,,0,PA,XZ20240,8.0,2
2006035665,2006,,0,OK,466Z2J,7.0,3
2006037990,2006,,0,,,,1
2006053717,2006,,0,,,,2
2006080594,2006,,0,,RNBR,7.0,2
2006081935,2006,,0,NG,N6,,2
2006114386,2006,,0,,,,2
2007008861,2006,,0,,,,1
2006055324,2006,,0,,,,1
2006055947,2006,,0,,,,1
2006055948,2006,,0,,,,1
2006065004,2006,,0,OK,3973DY,6.0,1
2006082625,2006,,0,,,8.0,2
2006083178,2006,,0,,,,1
2006110817,2006,,0,TN,T766993,7.0,1
2007021531,2006,,0,,,1.0,1
2007023209,2006,,0,,,,2
2006053874,2006,,0,OK,988SDH,7.0,1
2006055749,2006,,0,,,,1
2006080061,2006,,0,,O983S0S,7.0,3
2006113308,2006,,0,,,,1
2006125766,2006,,0,,,,1
2006035596,2006,,0,,,,1
2006081649,2006,,0,,,,2
2006102805,2006,,0,,,,2
2007007145,2006,,0,WI,W37009,7.0,2
2007009846,2006,,0,,,,1
2006033037,2006,,0,,,,2
2006042410,2006,,0,OH,T6Z6295,7.0,2
2006053757,2006,,0,,,9.0,1
2006056254,2006,,0,,,,3
2006062382,2006,,0,,,,2
2006065629,2006,,0,,,,1
2006080111,2006,,0,,,9.0,1
2006080950,2006,,0,,,,1
2006124747,2006,,0,,,8.0,1
2007008869,2006,,0,,,,2
2006025548,2006,,0,,,8.0,1
2006038179,2006,,0,,,,1
2006056503,2006,,0,,,,1
2006065017,2006,,0,,M,,2
2007007554,2006,,0,,,,1
2006025548,2006,,0,,,,2
2006033282,2006,,0,,,,1
2006080038,2006,,0,NJ,MV64H,7.0,5
2006080063,2006,,0,,O,1.0,2
2006083105,2006,,0,,,,2
2006092480,2006,,0,,,,2
2006102794,2006,,0,,,6.0,2
2006105847,2006,,0,,,7.0,1
2007009791,2006,,0,,,,2
2006034198,2006,,0,PA,0A83RY,8.0,3
2006079762,2006,,0,PA,AF14092,7.0,1
2006102401,2006,,0,,,,2
2007000791,2006,,0,NJ,TB025E,7.0,1
2007022700,2006,,0,PA,GKT8DY,8.0,1
2006022693,2006,,0,,,6.0,4
2006037201,2006,,0,,,,1
2006037546,2006,,0,,????????????,,2
2006053865,2006,,0,MO,YFK2Y5,7.0,1
2006053957,2006,,0,,,7.0,1
2006055818,2006,,0,,,,1
2006062281,2006,,0,,,,1
2006079409,2006,,0,,,,2
2006081475,2006,,0,,,,2
2006114736,2006,,0,,,,1
2006123828,2006,,0,,,,3
2006023316,2006,,0,MN,P5G3WE,7.0,1
2006036656,2006,,0,,,,1
2006056466,2006,,0,,,,2
2006057913,2006,,0,,,,2
2006065584,2006,,0,,,,2
2006081934,2006,,0,,,,1
2006093443,2006,,0,,,6.0,2
2006096851,2006,,0,,,7.0,1
2006102812,2006,,0,NT,TCPJY,3.0,1
2006126851,2006,,0,OK,OK15060,7.0,2
2006055818,2006,,0,,,,2
2006065746,2006,,0,,,9.0,3
2006113430,2006,,0,,,,2
2006114384,2006,,0,,,,1
2006125478,2006,,0,,,6.0,2
2006127100,2006,,0,,,,1
2007051288,2006,,0,,,,1
2006034203,2006,,0,,,6.0,2
2006079931,2006,,0,PA,05628F,6.0,2
2006082560,2006,,0,,,,1
2006102510,2006,,0,,,,2
2006103182,2006,,0,,,,1
2007007716,2006,,0,ME,08672B4,7.0,1
2006056375,2006,,0,,,,1
2006081723,2006,,0,,,,2
2006094080,2006,,0,ZZ,C8IY55,6.0,2
2006101828,2006,,0,MA,A8SG28,7.0,2
2006113398,2006,,0,,TBX7OY,6.0,1
2007010235,2006,,0,,,,2
2006021336,2006,,0,,,,2
