CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2006035966,,,,,,,,,,,,,,,,,,,,N,N,Y,N,2
2007034487,U,U,U,U,9.0,U,U,U,U,99999,U,U,9.0,U,U,U,U,Y,N,,,,,1
2006080855,U,U,U,N,0.0,N,N,U,U,99999,,,,,,,,N,U,,,,,1
2006093449,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2006095212,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,N,U,,,,,1
2006102190,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2006113066,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2006115879,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007030079,U,U,U,N,0.0,N,N,U,U,99999,,,,,,,,N,U,,,,,1
2006060827,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,U,U,,,,,1
2006062118,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,N,U,,,,,1
2006065366,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,U,U,,,,,2
2006065520,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,N,N,,,,,2
2006079269,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,U,U,,,,,1
2006080586,N,U,N,U,1.0,U,Y,Y,Y,99999,U,U,1.0,U,Y,Y,Y,Y,N,,,,,3
2006081349,U,U,U,Y,1.0,U,U,U,U,99999,,,,,,,,N,U,,,,,1
2006081928,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2006082608,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,U,U,,,,,2
2006096434,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,N,U,,,,,1
2006114747,,,,,,,,,,,,,,,,,,,,U,U,U,U,2
2006123752,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2006124739,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2006054616,U,U,U,U,9.0,U,U,U,U,99999,,,,,,,,U,U,,,,,3
2006081036,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2006081351,U,U,U,N,0.0,N,N,U,U,99999,,,,,,,,N,U,,,,,2
