CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2006103675,635.0,1,0,0,0,0,0,0,0,0,1,0,,67,8,2006,4,40.0202,-75.1525,628.0,6,0,0,0,0,0,1,0,1,2.0,0,0,0,5,1,4,0,,2.0,40 01:13.080,1.0,0,75 09:09.360,4,0,0,0,67301,0,0,0,N,0,0,0,4,67301,3,,1,1,,N,N,,0,,0,0,3,3,8,Y,550,4,4,0,0,0,1,0,3,4,0,4,3,,N,,,,,,,,,,,
2006096594,1422.0,2,0,0,0,0,0,0,0,0,2,0,,67,6,2006,5,40.0254,-75.0429,1421.0,6,0,0,1,0,0,0,0,0,,0,0,0,99,1,1,2,,0.0,40 01:31.432,,0,75 02:34.274,4,0,0,0,67301,0,0,0,N,0,0,0,2,67301,1,,1,1,,N,N,,0,,0,0,0,3,3,,9999,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2006096609,2023.0,1,0,0,0,0,0,0,0,0,4,0,,67,8,2006,4,40.0586,-75.2341,2020.0,6,0,0,0,0,0,0,0,0,,0,0,0,20,3,1,1,,0.0,40 03:30.000,,0,75 14:02.409,4,0,0,0,67301,0,0,0,N,0,0,0,6,67301,1,,1,1,,N,N,,0,,0,0,1,0,0,,2015,1,2,0,0,2,0,1,3,4,0,2,3,,N,,,,,,,,,,,
2006102080,1800.0,0,0,0,0,0,0,0,0,0,8,0,,67,9,2006,2,,,1750.0,6,0,0,0,0,0,0,0,0,,0,0,0,17,1,1,0,,0.0,,,0,,3,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,,1,1,,N,N,,0,,1,0,0,0,0,,1747,1,2,0,0,0,0,1,3,3,1,1,3,,N,,,,,,,,,,,
2006125746,1753.0,1,0,0,1,0,0,0,0,0,4,0,,67,11,2006,4,39.988,-75.126,1749.0,6,0,0,0,0,0,0,0,0,,0,0,0,17,3,1,1,,0.0,39 59:16.792,,0,75 07:33.448,4,0,0,0,67301,1,0,0,N,0,0,0,2,67301,1,,1,1,,N,N,,0,,0,0,0,0,0,,1730,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2006065985,205.0,2,0,0,0,0,0,0,0,0,1,0,,67,6,2006,6,39.9456,-75.1651,203.0,6,0,1,1,0,0,0,0,0,,0,0,0,2,3,3,1,,0.0,39 56:56.040,,0,75 09:51.120,4,0,0,0,67301,0,0,0,,0,0,0,5,67301,3,,1,9,,,,,0,,0,0,0,3,2,,200,3,2,0,0,0,0,0,3,4,0,2,7,,N,,,,,,,,,,,
2006080274,236.0,1,0,0,0,0,0,0,0,0,7,0,,67,7,2006,1,,,234.0,6,0,0,1,0,0,0,0,0,3.0,0,0,0,2,3,2,0,,2.0,,2.0,0,,4,0,0,0,67301,0,0,0,N,0,0,0,2,67301,2,,2,1,,N,N,,0,,0,0,0,0,0,Y,233,2,1,0,0,0,0,0,3,3,0,1,3,,N,,,,,,,,,,,
2006082989,25.0,1,0,0,0,0,0,0,0,0,1,0,40.0,67,5,2006,1,40.0993,-74.9867,20.0,6,0,0,0,0,1,0,0,0,2.0,0,0,0,0,2,1,10,,1.0,40 05:57.480,3.0,0,74 59:11.400,4,0,0,0,67301,0,0,0,N,0,0,0,5,67301,1,,1,1,,N,N,,0,,0,0,1,0,0,N,20,1,2,0,0,0,0,0,3,4,0,2,3,,Y,3.0,1.0,N,,,N,,,,Y,
2006021644,1500.0,2,0,0,0,0,0,0,0,0,1,0,,67,1,2006,7,39.9572,-75.1572,1457.0,6,0,0,0,0,0,1,1,0,,0,0,0,14,1,1,0,,0.0,39 57:25.000,,0,75 09:25.686,8,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,,1,9,,N,N,,0,,0,0,1,0,0,,1453,1,3,0,0,0,1,0,3,4,0,3,7,,N,,,,,,,,,,,
2006103104,1210.0,1,0,0,1,0,0,0,0,0,2,0,,67,5,2006,4,,,1200.0,6,0,0,0,0,0,0,0,0,,0,0,0,12,1,1,2,,0.0,,,0,,8,0,0,0,67301,1,0,0,,0,0,0,2,67301,0,,1,1,,,,,0,,0,0,0,9,3,,1200,1,2,0,0,0,1,0,3,3,0,1,3,,N,,,,,,,,,,,
