CRN,AVOID_MAN_CD,BODY_TYPE,COMM_VEH,DAMAGE_IND,DVR_PRES_IND,EMERG_VEH_USE_CD,GRADE,HAZMAT_IND,IMPACT_POINT,INS_IND,MAKE_CD,MODEL_YR,NON_MOTORIST,OWNER_DRIVER,PEOPLE_IN_UNIT,PRIN_IMP_PT,RDWY_ALIGNMENT,SPECIAL_USAGE,TOW_IND,TRAVEL_DIRECTION,TRAVEL_SPD,TRL_VEH_CNT,UNDER_RIDE_IND,UNIT_NUM,UNIT_TYPE,VEH_COLOR_CD,VEH_MOVEMENT,VEH_POSITION,VEH_REG_STATE,VEH_ROLE,VEH_TYPE,PARTIAL_VIN,VINA_BODY_TYPE_CD
2006081686,,15.0,N,1.0,1.0,,3.0,N,11.0,Y,CHEV,1992.0,0,1.0,1,,1.0,0.0,N,S,999.0,0.0,,2,1,5.0,10.0,2.0,PA,2.0,6.0,1GNDT13Z3N2,PUT
2006125498,,12.0,N,3.0,1.0,,1.0,N,12.0,Y,CHEV,2002.0,0,1.0,5,,1.0,0.0,Y,S,999.0,0.0,,2,1,7.0,1.0,1.0,PA,2.0,1.0,1GNDX03E02D,PSV
2006053989,,,N,,,,,N,,,,,1,0.0,1,,,,,,0.0,,,2,31,,,,,2.0,,,
2006079847,,40.0,N,2.0,1.0,,2.0,N,12.0,Y,DODG,2001.0,0,98.0,1,,1.0,0.0,N,N,20.0,0.0,,1,1,3.0,1.0,0.0,PA,1.0,1.0,2B7HB11X51K,TVN
2006126458,,4.0,N,3.0,1.0,,1.0,N,11.0,U,TOYT,1991.0,0,1.0,2,,1.0,0.0,Y,W,15.0,,,2,1,1.0,1.0,9.0,PA,2.0,1.0,4T1VV21E0MU,P4D
2006019842,,4.0,N,1.0,1.0,,2.0,N,6.0,Y,NISS,1993.0,0,1.0,1,,1.0,0.0,N,E,999.0,0.0,,2,1,7.0,1.0,1.0,PA,2.0,1.0,1N4EB31F2PC,P4D
2006062399,,4.0,N,2.0,1.0,,1.0,N,12.0,U,HYUN,2002.0,0,1.0,3,,1.0,0.0,Y,E,999.0,0.0,,1,1,5.0,1.0,6.0,PA,1.0,1.0,KMHDN45D32U,P4D
2006103158,,4.0,N,9.0,3.0,,1.0,N,6.0,U,CHEV,2000.0,0,99.0,1,,1.0,0.0,N,U,999.0,0.0,,1,1,5.0,1.0,0.0,PA,1.0,1.0,1G1NE52J1Y6,P4D
2006079885,,15.0,N,3.0,1.0,,1.0,N,12.0,Y,JEEP,1998.0,0,1.0,1,,1.0,0.0,Y,S,999.0,0.0,,1,1,7.0,1.0,98.0,PA,1.0,6.0,1J4GZ58S3WC,TUT
2006080992,,4.0,N,2.0,1.0,,1.0,N,6.0,Y,BUIC,1994.0,0,2.0,3,,1.0,0.0,N,E,999.0,0.0,,2,1,4.0,3.0,6.0,PA,2.0,1.0,1G4HP52L3RH,P4D
2006081673,,2.0,N,0.0,1.0,,1.0,N,1.0,Y,PLYM,1996.0,0,1.0,1,,1.0,0.0,N,N,999.0,,,1,1,2.0,1.0,0.0,PA,1.0,1.0,1P3ES22C4TD,P2P
2006019037,,4.0,N,1.0,1.0,,1.0,N,11.0,Y,FORD,1999.0,0,2.0,1,,1.0,13.0,N,W,999.0,0.0,,1,1,3.0,1.0,0.0,PA,1.0,1.0,2FAFP71W3XX,P4D
2006126819,,4.0,N,3.0,1.0,,1.0,N,11.0,Y,HOND,1993.0,0,1.0,1,,1.0,0.0,Y,S,999.0,0.0,,3,1,12.0,2.0,1.0,PA,2.0,1.0,1HGCB7656PA,P4D
2006055297,,2.0,N,2.0,1.0,,1.0,N,12.0,Y,MITS,2001.0,0,2.0,2,,1.0,0.0,Y,W,20.0,0.0,,2,1,99.0,1.0,6.0,PA,2.0,1.0,JA3AY31C51U,P2D
2006080066,,9.0,Y,2.0,1.0,,1.0,N,12.0,Y,OTHR,2000.0,0,98.0,3,,1.0,12.0,N,S,999.0,0.0,,1,1,3.0,10.0,2.0,PA,1.0,3.0,1N9TA36A9YL,P
2006018679,,4.0,N,3.0,1.0,,1.0,N,3.0,Y,FORD,2001.0,0,1.0,1,,1.0,0.0,Y,E,999.0,0.0,,2,1,12.0,1.0,1.0,PA,3.0,1.0,1FAFP53U91A,P4D
2006066006,,,N,,,,,N,,,,,1,0.0,1,,,,,,0.0,,,2,31,,,,,2.0,,,
2006092709,,15.0,N,3.0,1.0,,3.0,N,0.0,Y,CHEV,1997.0,0,1.0,2,,3.0,0.0,Y,N,999.0,,,1,1,4.0,17.0,3.0,PA,0.0,1.0,1GNCT18W0VK,PUT
2006034191,,72.0,N,1.0,2.0,,1.0,N,15.0,U,FRHT,2005.0,1,,0,,1.0,21.0,N,E,0.0,1.0,,2,2,3.0,6.0,1.0,MD,2.0,5.0,1FUJA6AV15L,TDS
2006123819,,5.0,N,3.0,1.0,,3.0,N,12.0,Y,PLYM,1990.0,0,1.0,1,,1.0,0.0,Y,E,999.0,0.0,,2,1,2.0,5.0,98.0,PA,3.0,1.0,1P3XP48D4LN,P4H
2006094948,,20.0,N,1.0,1.0,,1.0,N,3.0,Y,SUZI,2002.0,0,1.0,1,,1.0,0.0,N,W,30.0,0.0,,1,1,6.0,1.0,1.0,PA,1.0,2.0,JS1GN7BA422,MRS
2006020115,,50.0,N,9.0,2.0,,9.0,N,12.0,N,CHEV,1994.0,1,,0,,9.0,0.0,N,,0.0,0.0,,4,2,3.0,6.0,8.0,PA,2.0,1.0,1GCCS19Z2RK,TPK
2006082077,,4.0,N,9.0,4.0,,1.0,N,11.0,U,FORD,,0,99.0,1,,1.0,99.0,N,W,999.0,0.0,,1,5,4.0,12.0,4.0,PA,1.0,6.0,1FMDU34XXRU,P4D
2006056007,,4.0,N,1.0,1.0,,1.0,N,1.0,Y,KIA,2000.0,0,1.0,2,,1.0,0.0,N,W,30.0,0.0,,1,1,1.0,1.0,1.0,PA,1.0,1.0,KNAFB1215Y5,P4D
