CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2006026394,99.0,8,502 GERMANTOWN PIKE,,LAFAYETTE HILL,PA,19444.0,SAGUE AUTO SERVICE,9999999999.0,,,,,,N,,,,,,,,,,,,,1,0.0,11
2006053950,99.0,1,PO BOX 400,,SYLVAN BEACH,NY,13157.0,LCJ TRUCKING,9999999999.0,80000.0,,,,,N,,,,,,U,,,,,,,2,783899.0,6
2006053950,99.0,1,6582 PARIS AVENUE NORTH,,LOUISVILLE,OH,44641.0,APOLLO SKY INC,0.0,80000.0,,,,,N,,,,,474621.0,U,,,,,,,3,1189424.0,6
2006055821,2.0,8,1234 MARKET ST,14TH FLOOR,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,,,,,,,,,,,,,,1,99999999.0,11
2006055931,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,0.0,11
2006079832,4.0,7,1500 SOUTH SIXTH ST,,CAMDEN,NJ,8104.0,CAMDEN IRON WORKS,8563657500.0,,,,,,N,,,,,,,,,,,,,1,174866.0,4
2006079854,1.0,1,2519 S CARROLL,,PHILADELPHIA,PA,99999.0,SERGULL TRANSPORT,2156515759.0,80000.0,,,,,N,,,,,999999999.0,U,,,,,,,2,1404441.0,8
2006092892,99.0,8,1234 MARKET ST,,PHILA,PA,19107.0,SEDTA,2155807800.0,999999.0,,,,,N,,,,,999999999.0,U,,,,,,,2,99999999.0,11
2006094134,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,,11
2006102788,99.0,9,350 EAGLEVIEW BLVD,,EXTON,PA,19341.0,SUNOCO,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999.0,99
2006126851,99.0,9,4701 S ROCKWELL ST,,OKLAHOMA CITY,OK,73179.0,COVENANT TRANSPORTATION INC,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,99
2006053774,99.0,8,UNKNOWN,,PHILADELPHIA,PA,99999.0,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,1,0.0,11
2006053958,4.0,1,1961 HARTEL ST,,LEVITTOWN,PA,19057.0,VELTRI I,2159466400.0,65000.0,,,,,N,,,,,,N,,,,,,,1,398991.0,8
2006054640,99.0,1,838 MILLBRIDGE APTS,,CLEMENTON,NJ,8021.0,BLACK HORSE TRUCKING INC,9999999999.0,,,,,,N,,,,,999999999.0,,,,,,,,2,99999999.0,5
2006054749,99.0,8,1234 MARKET ST,,PHILADELPHIA,PA,99999.0,PENNA TRANSPORTATION,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,2,99999999.0,11
2006080101,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,,,,,,N,,,,,999999999.0,,,,,,,,2,99999999.0,11
2006080934,99.0,9,6958 TORRESDALE AVE,,PHILADELPHIA,PA,19135.0,JAMES ANDERSON,9999999999.0,,,,,,N,,,,,999999999.0,,,,,,,,2,99999999.0,5
2006081588,99.0,8,UNKNOWN,,UNKNOWN,ZZ,,UNKNOWN,9999999999.0,,,,,,,,,,,,,,,,,,,1,,11
2007009851,5.0,1,DOB 564,,WEST CHESTER,PA,19380.0,A DUIE PYLE INC,8005235020.0,80000.0,,,,,N,,,,,,N,,,,,,,2,113594.0,8
2006021595,99.0,9,UNKNOWN,,UNKNOWN,PA,99999.0,PENNDOT,9999999999.0,3800.0,,,,,N,,,,,999999999.0,,,,,,,,2,99999999.0,5
2006023365,99.0,1,1250 GLEN AVE,,ORRISTOWN,NJ,99999.0,COCA COLA BOTTLING,9999999999.0,,,,,,N,,,,,999999999.0,,,,,,,,2,99999999.0,6
2006055312,99.0,1,UNKNOWN,UNKNOWN,UNKNOWN,ZZ,99999.0,MCELERRY DRYWALL,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,99999999.0,4
2006055715,99.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,,,,,,,,1,99999999.0,11
2006065004,5.0,1,50 EMERALD LN,,OLDBRIDGE,NJ,8857.0,AUSLANDER CORP,9999999999.0,180000.0,,,,,N,,,,,314716.0,N,,,,,,,1,674045.0,6
2006082013,99.0,1,UNKNOWN,,UNKNOWN,ZZ,99999.0,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,99999999.0,7
2006104265,99.0,1,WATER DEPARTMENT,,PHILADELPHIA,PA,99999.0,CITY OF PHILADELPHIA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999.0,5
2006124913,99.0,8,4157 CRESSON ST,,PHILA,PA,19127.0,LEAHY TRANSPORTATION,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,2,99999999.0,11
2006125356,99.0,9,100 S BROAD ST,,PHILADELPHIA,PA,19110.0,CITY OF PHILADELPHIA,9999999999.0,,,,,,N,,,,,,,,,,,,,1,99999999.0,99
2007032686,99.0,9,UNK,,UNKNOWN,TN,99999.0,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,1,99999999.0,99
2006053518,99.0,1,2220 TOLEDO RD,,INDIANA,IN,46515.0,PENSKE,9999999999.0,,,,,,N,,,,,999999999.0,,,,,,,,1,99999999.0,6
2006053870,99.0,8,628 RIDGE PK,,LAFAYETTE HILL,PA,19444.0,MCGOLDRICK LEASING,9999999999.0,,,,,,N,,,,,,,,,,,,,2,0.0,10
2006054111,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,0.0,11
2006055868,99.0,8,333 JENKINTOWN COMMONS,,JENKINTOWN,PA,19046.0,PHILADELPHIA AIRPORT TAXI SERVIC,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,99999999.0,10
2006065989,99.0,8,734 SCHUYLKILL AVE,,PHILADELPHIA,PA,19132.0,SCHOOL DISTRICT OF PHILADELPHIA,9999999999.0,,,,,,N,,,,,,,,,,,,,1,0.0,11
2006065989,99.0,8,1234 MARKET ST 14H FL,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,0.0,11
2006094086,2.0,8,3975 CONSHOHOCKEN AVE,,PHILADELPHIA,PA,19131.0,EASTER SEAL SOCIETY,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,10
2006096570,99.0,1,UNKNOWN,,UNKNOWN,ZZ,99999.0,RYDER TRUCK RENTAL,9999999999.0,999999.0,,,,,N,,,,,,,,,,,,,2,99999999.0,8
2006116110,99.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,1,99999999.0,11
2006116110,99.0,8,1234,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,11
2006116112,99.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,11
2006124856,99.0,8,3247 FRANKFORD AVE,,PHILA,PA,99999.0,UNITED LIMOUSINE SERVICE,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,3,99999999.0,11
2007022532,99.0,8,1234 MARKET STREET,,PHILADELPHIA,PA,19107.0,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,2,99999999.0,11
2007022724,2.0,1,300 SHUNK HOLLOW RD,PO BOX1,CHALFONT,PA,18914.0,H K MATERIALS DIV OF HAINES KIBB,6104764240.0,19000.0,,,,,N,,,,,,N,,,,,,,3,275625.0,3
2006023973,99.0,8,6821 NORWITCH DR,,PHILADELPHIA,PA,19153.0,ALL CITY TRANSPORTATION INC,9999999999.0,,,,,,N,,,,,,,,,,,,,1,0.0,11
2006033796,5.0,1,9335 US 62 NORTH,,HILLSBORO,OH,45133.0,TRIPLE W EXPRESS,9373939688.0,80000.0,,,,,N,,,,,999999999.0,N,,,,,,,1,822089.0,6
