CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2007028333,99.0,8,3740 E THOMPSON ST,,PHILADELPHIA,PA,19137,ATLANTIC EXPRESS OF PHILA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999.0,11.0
2007045175,2.0,8,1234 MARKET STREET,,PHILADEPHIA,PA,99999,SEPTA,2155805308.0,999999.0,,,,,N,,,,,,N,,,,,,,1,88888888.0,11.0
2007047061,99.0,8,1234 MARKET ST.,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,11.0
2007056721,99.0,9,2700 CLEMENS RD,,HATFIELD,PA,19440,PV TRANSPORT,9999999999.0,99999.0,,,,,N,,,,,,N,,,,,,,2,9.0,8.0
2007096736,99.0,8,1234 MARKET ST 14TH FL,,HARRISBURG,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999.0,11.0
2007096753,99.0,8,1350 SCHUYLKILL AVE,,PHILADELPHIA,PA,19146,PHILLY TROLLEY WORKS,9999999999.0,,,,,,N,,,,,,,,,,,,,1,99999999.0,11.0
2007098763,99.0,8,4187 NEW HOLLAND ROAD,,MOHNTON,PA,99999,LIFESTYLE LIMOUSINE,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999.0,11.0
2007102428,4.0,7,8215 EAGLE DRIVE,,UPPER MARLBORO,MD,20772,METROWASTE INC,3016691825.0,73280.0,,,,,N,,,,,359803.0,N,,,,,,,1,809450.0,4.0
2007106953,99.0,1,18 OREGON AVE,,PHILADELPHIA,PA,19148,UPS,9999999999.0,,,,,,N,,,,,,,,,,,,,1,99999999.0,5.0
2007108006,99.0,8,1234 MARKET STREET,,PHILADELPHIA,PA,19107,SEPTA CCT CONNECT,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,2,99999999.0,11.0
