CRN,AVOID_MAN_CD,BODY_TYPE,COMM_VEH,DAMAGE_IND,DVR_PRES_IND,EMERG_VEH_USE_CD,GRADE,HAZMAT_IND,IMPACT_POINT,INS_IND,MAKE_CD,MODEL_YR,NON_MOTORIST,OWNER_DRIVER,PEOPLE_IN_UNIT,PRIN_IMP_PT,RDWY_ALIGNMENT,SPECIAL_USAGE,TOW_IND,TRAVEL_DIRECTION,TRAVEL_SPD,TRL_VEH_CNT,UNDER_RIDE_IND,UNIT_NUM,UNIT_TYPE,VEH_COLOR_CD,VEH_MOVEMENT,VEH_POSITION,VEH_REG_STATE,VEH_ROLE,VEH_TYPE,PARTIAL_VIN,VINA_BODY_TYPE_CD
2007082406,,99.0,N,9.0,4.0,,1.0,N,12.0,U,UNKN,,0,99.0,2,,1.0,0.0,N,E,999.0,,,1,5,99.0,4.0,0.0,,1.0,99.0,,
2007080148,,12.0,N,3.0,1.0,,5.0,N,12.0,Y,DODG,2003.0,0,1.0,1,,1.0,0.0,Y,S,20.0,,,1,1,3.0,1.0,1.0,FL,1.0,7.0,2D46P44L73R,PSV
2007081679,,51.0,N,1.0,1.0,,1.0,N,6.0,Y,FORD,2001.0,0,2.0,1,,1.0,99.0,N,N,0.0,0.0,,2,1,3.0,3.0,6.0,PA,2.0,4.0,2FTZF17261C,TPK
2007048212,,1.0,N,3.0,1.0,,1.0,N,12.0,Y,PONT,2000.0,0,1.0,1,,1.0,0.0,Y,E,999.0,0.0,,1,1,5.0,1.0,6.0,PA,1.0,1.0,1G2NF12E0YM,PCP
2007066272,,1.0,N,3.0,2.0,,3.0,N,7.0,U,HOND,2006.0,1,,0,,1.0,0.0,Y,E,0.0,,,2,2,7.0,99.0,1.0,PA,2.0,1.0,2HGFG12896H,PCP
2007099092,,3.0,N,3.0,1.0,,1.0,N,99.0,Y,FORD,2001.0,0,1.0,2,,1.0,0.0,Y,W,999.0,,,2,1,2.0,12.0,8.0,PA,2.0,1.0,3FAFP31331R,P3P
2007093568,,4.0,N,3.0,1.0,,1.0,N,1.0,Y,CHEV,1993.0,0,1.0,1,,1.0,0.0,Y,W,999.0,,,1,1,4.0,1.0,9.0,PA,1.0,1.0,1Y1SK5380PZ,P4D
2007116267,,15.0,N,1.0,1.0,,1.0,N,6.0,Y,LEXS,2004.0,0,1.0,2,,1.0,0.0,N,E,0.0,,,2,1,7.0,3.0,1.0,PA,2.0,1.0,JTJHT00W743,PUT
2007074952,,51.0,N,3.0,1.0,,1.0,N,2.0,Y,FORD,2003.0,0,1.0,2,,1.0,0.0,Y,W,25.0,,,2,1,5.0,1.0,3.0,PA,2.0,4.0,1FTZR45EX3P,T4C
2007074108,,6.0,N,0.0,1.0,,1.0,N,6.0,Y,VOLV,2002.0,0,1.0,3,,1.0,0.0,N,S,1.0,0.0,,2,1,7.0,2.0,2.0,PA,2.0,1.0,YV1SW61R822,PSW
