CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2008095599,3.0,3,2.0,75.0,67,E,3,2,0073,70.0,30.0,COTTMAN AV
2008050379,,4,99.0,,67,W,3,4,,,,LATIMER ST
2008041291,,4,2.0,,67,W,4,4,,,30.0,CHELTEN AV
2008072587,3.0,3,2.0,964.0,67,E,3,2,3023,50.0,25.0,CHESTER AV
2008060173,,3,1.0,,67,E,4,4,,,,CUMBERLAND ST
2008107939,,3,2.0,,67,N,3,4,,,25.0,PULASKI ST
2008057759,,4,1.0,,67,E,4,4,,,30.0,POWELTON AV
2008097621,3.0,3,2.0,0.0,67,N,3,2,0611,180.0,30.0,BROAD ST
2008050624,,4,99.0,,67,E,3,4,,,,DEVEREAUX AV
2008050728,3.0,3,3.0,0.0,67,N,3,2,6001,210.0,40.0,ROOSEVELT BL
2008072780,,4,4.0,,67,E,4,4,,,25.0,LOCUST ST
2008088293,,3,2.0,,67,S,3,4,,,20.0,OLD YORK RD
2008098467,,5,2.0,,67,E,5,4,,,25.0,WALNUT LN
2008054211,3.0,9,2.0,0.0,67,E,9,2,4002,10.0,40.0,STENTON AV
2008093637,1.0,3,3.0,509.0,67,S,3,1,0095,281.0,55.0,DELAWARE EX
2008051609,,5,99.0,,67,W,4,4,,,,WALNUT PARK DR
2008044677,,4,2.0,,67,E,4,4,,,,VANKIRK ST
2008081504,,4,4.0,,67,W,4,4,,,25.0,PRESIDENTIAL BL
2008088015,,4,4.0,,67,E,3,4,,,35.0,TYSON AV
2008118586,,3,1.0,,67,S,4,4,,,20.0,LEE ST
2008085101,1.0,3,3.0,1359.0,67,W,3,1,0076,3421.0,50.0,SCHUYLKILL EX
2008095715,,4,99.0,,67,S,4,4,,,,TWELFTH ST
2008051612,3.0,6,2.0,0.0,67,W,6,2,3010,55.0,25.0,MARKET ST
2008041292,,4,99.0,,67,E,4,4,,,,MARGARET ST
2008070677,,4,99.0,,67,N,3,4,,,,SPARKS ST
2008051310,1.0,3,4.0,58.0,67,E,3,1,0076,3400.0,50.0,SCHUYLKILL EX
2008120659,3.0,3,4.0,584.0,67,S,3,2,0611,101.0,35.0,BROAD ST
2008081475,,4,2.0,,67,W,3,4,,,25.0,MANATAWNA AV
2008098068,,4,99.0,,67,W,4,4,,,,PRATT ST
2008108014,3.0,3,2.0,639.0,67,S,3,2,3009,120.0,35.0,RIDGE AV
2008040282,,4,2.0,,67,N,3,4,,,25.0,34TH ST
2008080638,1.0,3,4.0,161.0,67,W,3,1,0076,3401.0,50.0,SCHUYLKILL EX
