CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2009088483,0,0,0,0,0,0,0,0,0,0
2009030647,0,0,0,0,0,0,0,0,0,0
2009004283,0,0,0,0,0,0,0,0,0,0
2009069210,0,1,0,0,0,0,0,0,0,0
2009040369,0,1,0,0,0,1,0,0,0,1
2009096448,0,0,0,0,0,1,0,0,1,0
2009074281,1,0,0,0,0,0,0,0,0,0
2009049043,0,0,0,0,0,1,0,0,0,0
2009030350,0,0,0,0,0,0,0,0,1,0
2009097397,0,0,0,0,0,0,0,0,0,0
2009133728,0,0,0,0,0,1,0,0,0,0
2009060873,0,0,0,0,0,1,0,0,0,0
2009118398,0,0,0,0,0,0,0,0,0,0
2009004319,0,0,0,0,0,0,0,0,0,0
2009008069,1,0,0,0,0,0,0,0,1,0
2009124991,0,0,0,0,0,1,0,0,0,0
2009096324,1,0,1,1,1,0,0,0,0,0
2009049468,0,0,1,1,1,1,0,0,0,0
2009099067,0,0,0,0,1,1,0,0,0,1
2009050014,0,0,0,0,0,0,0,0,1,0
2009058874,0,0,0,0,0,0,0,0,0,0
2009027763,0,0,0,0,0,0,0,0,1,0
2009052262,0,0,0,0,1,1,0,0,0,0
2009004179,1,0,0,0,0,0,0,0,1,0
2010007066,0,1,0,0,0,0,0,0,0,0
2009071010,0,0,0,0,0,0,1,0,0,0
2009071195,1,0,0,0,0,0,0,0,1,1
2009045413,1,0,0,0,0,0,0,0,0,0
2009066173,0,1,0,0,0,1,0,0,0,0
2009103087,0,0,0,0,0,0,0,0,1,1
2009026417,0,0,1,1,1,1,0,0,0,0
2009129211,0,1,0,0,0,0,0,0,0,1
2009100273,0,0,0,0,0,1,0,0,0,0
2009131555,0,0,0,0,0,1,0,0,1,0
2009133561,0,1,0,0,0,0,0,0,0,0
2009003552,0,0,0,0,0,0,0,0,0,0
2009020725,1,0,0,0,0,0,0,0,1,0
2009059634,1,0,0,0,0,0,0,0,0,1
2009080468,0,0,0,0,0,1,0,0,0,0
2009038414,0,0,0,0,0,0,0,0,1,0
2009116736,0,0,0,0,0,0,0,0,0,0
2010002739,0,1,0,0,1,1,0,0,0,0
2009041885,0,0,0,0,1,0,0,0,1,1
2009016519,0,0,0,0,0,0,0,0,0,0
2009077847,0,1,0,0,0,0,1,0,0,1
2009045875,1,0,0,0,0,0,0,0,0,0
2009121944,0,1,0,0,0,0,0,0,1,1
2009013174,0,0,0,0,0,0,1,0,1,0
2010005544,0,0,0,0,0,1,0,0,0,0
2009105563,1,0,0,0,0,1,0,0,1,0
2009040417,0,0,0,0,0,1,0,0,0,0
2009043539,0,1,0,0,0,1,0,0,0,0
2009004752,1,0,0,0,0,0,0,0,1,0
2009103746,0,0,1,1,1,0,0,0,0,0
2009043473,0,0,0,0,1,1,0,0,0,0
2009033835,0,0,0,0,0,0,0,0,0,0
2009131731,1,0,0,0,1,1,0,0,0,0
2009134149,0,0,0,0,0,0,0,0,1,0
2009108699,0,0,0,0,0,0,0,0,1,1
2009125420,0,0,0,0,1,1,0,0,0,1
2009058118,0,1,0,0,0,0,0,0,0,0
2009023575,0,0,0,0,0,0,0,0,0,0
2009108298,1,0,0,0,0,0,0,0,1,1
2009070005,0,0,0,0,0,0,0,0,0,0
2009106389,0,0,0,0,0,0,0,0,1,1
2009039921,1,0,0,0,1,0,0,0,0,0
2010006218,0,0,0,0,0,1,0,0,0,0
2009067612,0,0,0,0,0,1,0,0,0,1
2009070854,0,0,0,0,0,0,0,0,0,0
2009100262,0,0,0,0,0,0,0,0,0,0
2009074379,1,0,0,0,0,0,0,1,1,0
2009007966,0,0,0,0,0,1,0,0,0,0
2009059462,0,1,0,0,0,0,0,0,0,0
2009105286,0,0,0,0,0,0,0,0,0,0
2009118951,0,0,0,0,0,1,0,0,1,1
2009079779,1,0,0,0,0,1,0,0,1,1
2009117880,1,0,0,0,0,1,0,0,0,0
2009097571,0,0,0,0,0,0,1,0,0,0
2009090483,0,1,0,0,0,0,0,0,0,0
2009041797,0,1,0,0,0,0,0,0,0,0
2009087935,1,0,0,0,0,0,0,0,0,0
2009113924,0,0,0,0,0,1,0,0,0,0
2009117082,0,0,0,0,0,1,0,0,0,0
2009042196,0,0,0,0,0,0,0,0,0,0
2009017732,1,0,0,0,0,0,0,0,1,1
2009085115,0,0,0,0,0,0,0,0,0,0
2009066935,0,0,0,0,0,1,0,0,0,0
2009038805,1,0,0,0,0,0,0,0,0,0
2009088323,0,0,0,0,1,1,0,0,0,0
2009070927,1,0,0,0,0,0,0,0,0,0
2009045003,0,0,0,0,0,1,0,0,0,0
2009072697,0,0,0,0,0,1,0,0,1,1
2009014903,1,0,0,0,0,1,0,0,0,0
2009088900,0,0,0,0,0,0,0,0,0,1
2009045973,1,0,0,0,0,0,0,0,0,0
2009014478,0,0,0,0,0,0,0,0,1,0
2009108849,0,0,0,0,0,0,1,0,0,0
2009123080,0,0,0,0,1,1,0,0,0,0
2009130212,0,0,0,0,0,1,0,0,0,0
2009094693,0,0,0,0,0,0,0,0,1,0
2009110207,0,0,0,0,0,0,1,0,1,1
2009006669,1,0,0,0,0,0,0,0,1,0
2009015894,0,0,0,0,0,1,0,0,0,0
2009129395,1,0,0,0,0,0,0,0,1,0
2009115671,1,0,0,0,1,1,0,0,0,0
2009097856,0,1,0,0,0,0,0,0,0,0
2009071326,1,0,0,0,1,0,0,0,0,0
2009094279,0,0,0,0,0,0,0,0,0,0
2009057409,0,0,0,0,1,0,0,0,1,0
2009126171,0,0,0,0,0,1,0,0,1,0
2009104992,1,0,0,0,0,0,0,1,1,0
2010001023,0,0,0,0,0,1,0,0,0,0
2009095634,1,0,0,0,0,0,0,0,1,1
2009027000,0,0,0,0,0,0,0,0,1,0
2009038708,0,0,0,0,0,0,0,0,0,0
2009021264,0,0,0,0,0,0,0,0,0,0
2009013900,1,0,0,0,0,0,0,0,1,0
2009085683,0,0,0,0,0,1,0,0,0,0
2009047833,1,0,0,0,0,0,0,0,0,1
2009114546,0,0,0,0,0,1,0,0,0,0
2009028924,0,1,0,0,0,1,0,0,0,1
2009052919,0,0,0,0,0,1,0,0,0,0
2009117905,0,0,0,0,0,0,0,0,1,1
2009029609,1,1,0,0,1,1,0,0,0,0
2009014465,0,0,0,0,0,0,1,0,0,0
2009086401,0,0,0,0,0,0,0,0,0,0
2009074198,0,0,0,0,0,0,0,0,1,0
2009126090,0,0,0,0,0,0,0,0,0,0
2009066833,1,0,0,0,0,0,1,0,0,1
2009061987,0,0,0,0,0,0,1,0,1,0
2009114761,0,0,0,0,0,0,0,0,0,0
2009055436,0,0,0,0,0,0,0,0,0,0
2009057124,0,0,0,0,0,1,0,0,0,1
2009051047,0,0,0,0,0,0,0,1,1,0
2009038622,0,0,0,0,0,1,0,0,0,1
