CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2010041587,0,1,0,0,0,0,0,0,0,0
2010073974,0,0,0,0,0,0,0,0,0,0
2010103695,0,0,0,0,0,0,0,0,0,0
2010051882,1,0,0,0,0,0,0,0,0,1
2010097505,0,0,0,0,0,1,0,0,0,0
2010109796,1,0,0,0,0,0,0,0,1,1
2010091535,0,0,0,0,0,0,0,0,0,0
2011029596,0,0,0,0,1,0,0,1,1,1
2010068914,1,0,0,0,1,0,0,0,0,0
2010041328,1,0,0,0,0,1,0,0,0,0
2010030515,0,0,0,0,0,0,0,0,0,0
2010036199,0,0,0,0,0,0,0,0,0,1
2010086251,0,0,0,0,0,0,0,0,0,0
2010078840,1,0,0,0,1,0,0,0,1,0
2010126780,0,0,0,0,1,0,0,0,0,0
2010017842,0,0,0,0,0,0,1,0,0,0
2010127647,0,0,0,0,0,0,1,0,0,1
2010026076,1,0,0,0,0,0,0,0,0,0
2010091419,1,0,0,0,0,0,0,0,1,0
2010030240,0,1,0,0,0,1,0,1,1,0
2010032270,0,0,0,0,0,0,0,0,0,0
2010035317,0,0,0,0,0,1,0,0,0,0
2010123427,1,0,0,0,0,0,0,0,1,0
2010091851,1,0,0,0,1,0,0,0,1,0
2010017994,1,0,0,0,0,0,0,0,1,0
2010072138,0,0,0,0,1,0,0,0,0,0
2010112864,0,0,0,0,0,0,0,0,0,1
2010130112,0,0,0,0,0,1,0,0,1,0
2010091324,0,0,0,0,0,1,0,0,0,0
2010087874,0,0,0,0,0,0,0,0,0,0
2011002290,1,0,0,0,0,0,0,0,0,0
2010111815,0,0,0,0,0,0,0,0,1,0
2010059853,0,0,0,0,0,1,0,0,0,0
2010091941,0,0,0,0,0,0,0,0,0,0
2010120856,1,0,0,0,0,0,0,0,1,0
2010010538,0,0,0,0,0,1,0,0,0,0
2010077443,0,0,0,0,0,0,0,0,1,0
2010096566,0,0,0,0,1,0,0,0,0,0
2010062005,0,0,0,0,1,0,0,0,0,0
2010012484,0,0,0,0,0,1,0,0,0,0
2010006866,0,0,0,0,1,1,0,0,0,0
2010032085,0,0,0,0,0,0,0,0,0,0
2010061042,0,0,0,0,0,0,0,0,0,0
2010097874,0,0,0,0,1,0,0,0,1,1
2010032937,0,0,0,0,0,0,1,0,0,0
2010127632,1,0,0,0,0,0,0,0,1,0
2010067995,0,0,0,0,0,0,0,0,0,0
2010108667,0,0,0,0,0,0,0,0,0,0
2010128730,0,0,0,0,1,0,0,1,1,0
2010025280,0,0,0,0,0,1,0,0,0,0
2010032768,0,0,0,0,1,0,0,0,0,0
2010106814,0,0,0,0,0,0,0,0,1,0
2010056466,1,0,0,0,0,0,1,0,0,0
2010087392,1,1,0,0,0,0,0,0,0,0
2010013893,0,0,0,0,0,0,0,0,0,0
2010047064,1,0,0,0,0,0,0,0,0,0
2010040646,0,0,1,1,1,0,0,0,1,1
2010112871,1,0,0,0,0,0,0,1,1,1
2010113386,0,0,0,0,0,1,0,0,0,0
2010091323,1,0,0,0,0,0,0,0,1,0
2010052186,0,0,0,0,0,1,0,0,0,0
2010126523,1,0,0,0,0,0,0,0,0,0
2010019542,1,0,0,0,0,0,0,0,1,0
2010112581,0,0,0,0,0,1,0,0,0,1
2010014092,0,0,0,0,0,1,0,0,1,0
2010062800,0,0,0,0,0,1,0,0,0,0
2010034888,1,0,0,0,0,0,0,0,1,0
2010092108,0,0,0,0,0,1,0,0,0,1
2010093477,0,0,0,0,0,0,0,0,1,1
2010067050,0,0,0,0,0,1,0,0,0,0
2010022250,0,1,0,0,0,1,0,0,0,1
2010043017,1,0,0,0,0,0,0,1,1,0
2010064442,0,0,0,0,0,0,1,0,1,0
2010036831,0,0,0,0,0,0,0,0,0,1
2010088393,0,0,0,0,0,1,0,0,0,0
2010024097,0,0,0,0,0,1,0,0,0,0
2010039706,0,1,0,0,0,0,0,0,0,0
2010053049,1,0,0,0,0,0,0,0,1,0
2010053239,0,0,0,0,0,0,0,0,0,0
2010031909,1,0,0,0,0,1,1,0,1,0
2010070099,0,0,0,0,0,1,0,0,0,0
2010016505,0,0,0,0,0,0,0,0,0,0
2010038623,0,0,0,0,0,1,0,0,0,0
2010072327,0,0,0,0,0,0,1,0,1,0
2010088588,0,1,0,0,0,0,0,0,0,0
2010029815,0,0,0,0,0,1,0,0,0,0
2010065685,0,0,0,0,0,1,0,0,0,0
2010125810,0,1,0,0,0,1,0,1,1,0
2010113080,0,0,0,0,0,0,0,0,0,1
2010044105,0,1,0,0,0,1,0,0,0,0
2010084755,0,0,0,0,0,0,0,0,0,0
2011003963,0,0,0,0,0,0,0,0,1,0
2010073062,0,0,0,0,0,0,0,0,0,0
2010041029,0,0,0,0,0,1,0,0,0,0
2010057178,0,0,1,1,1,0,1,0,1,0
2010031188,0,0,0,0,0,0,0,0,1,0
2010024782,0,0,0,0,0,1,0,0,0,0
2010100927,0,0,0,0,1,0,0,0,1,0
2010101672,0,0,0,0,0,1,0,0,0,0
2010036675,0,0,0,0,0,0,0,0,0,0
2010094083,0,0,1,1,1,0,0,0,0,0
2010122593,0,0,0,0,0,0,0,0,0,0
2010108294,1,1,0,0,0,0,0,0,1,1
2010018713,0,0,0,0,0,0,0,0,0,0
2010036853,0,0,0,0,0,1,0,0,0,0
2010117643,1,0,0,0,0,0,0,0,0,0
2010032621,0,0,0,0,0,0,0,0,0,0
2010037798,0,0,0,0,1,0,0,1,1,0
2010020135,0,0,0,0,0,0,0,0,0,1
2010069759,0,1,1,1,1,0,0,0,0,0
2010087441,0,0,0,0,0,1,0,0,0,0
2010113024,1,0,0,0,0,0,0,0,1,0
2010102986,0,0,0,0,0,0,0,0,1,1
2010125813,0,0,0,0,0,1,0,0,0,0
2010048918,0,0,0,0,0,1,0,0,0,0
2010044201,0,0,0,0,0,0,0,0,0,0
2010055299,0,0,0,0,0,0,0,0,0,0
2010091531,0,1,0,0,0,0,0,0,0,0
2010093205,0,0,0,0,0,0,0,0,0,0
2010035850,0,0,0,0,0,0,1,0,1,0
2010096711,0,0,0,0,0,0,0,0,0,0
2010056251,0,0,0,0,0,0,0,0,1,1
2010033631,0,0,0,0,0,0,0,0,0,0
2010025987,1,0,0,0,0,1,1,0,0,0
2010112673,0,0,0,0,0,0,1,0,1,0
2010055468,0,0,0,0,0,1,0,0,0,0
2010101985,0,1,0,0,0,0,0,0,0,0
2010095139,0,0,0,0,0,1,0,0,0,1
2010105113,0,0,1,1,1,1,0,0,0,0
2010064518,0,0,0,0,1,0,0,0,0,0
2011005793,0,0,0,0,0,1,0,0,0,1
2010112183,0,0,0,0,0,1,0,0,0,0
2010114047,0,0,0,0,0,1,0,0,0,0
2010054005,0,0,0,0,0,0,1,0,1,1
2010064750,0,0,0,0,0,0,0,0,0,0
2010078393,0,0,0,0,0,1,0,0,0,0
2010047906,0,0,0,0,0,0,0,0,0,0
2010023038,0,0,1,1,1,0,0,0,0,0
2010114314,1,0,0,0,0,0,0,0,1,1
2010057637,0,0,0,0,1,0,0,0,0,0
2010104404,0,0,0,0,0,1,0,0,1,1
2010121339,0,0,0,0,0,1,0,0,0,0
2010122750,1,0,0,0,0,0,0,0,1,1
2010103138,1,0,1,1,1,0,0,0,0,0
2010127112,0,0,0,0,0,0,0,0,0,0
2010022695,0,0,0,0,0,1,0,0,0,0
2010007196,0,0,0,0,0,1,0,0,0,0
2010017336,0,0,0,0,0,1,0,0,0,0
2010123350,0,0,0,0,0,0,0,0,0,0
2010037905,1,0,0,0,0,1,0,0,0,0
2010090697,1,0,0,0,0,0,0,0,0,0
2010078530,0,0,0,0,1,1,0,0,0,0
2011011757,0,0,0,0,1,0,0,0,0,0
2010113220,0,0,0,0,0,1,0,0,1,1
2010039197,0,0,0,0,0,0,0,0,0,0
2010088330,0,0,0,0,0,1,0,0,0,0
2010097769,0,0,0,0,0,1,0,0,0,0
2010087068,1,0,0,0,0,0,0,0,1,1
2010048122,0,0,0,0,0,0,0,0,1,1
2011015818,1,0,0,0,0,0,0,0,0,0
2010058016,0,0,0,0,0,0,0,0,0,1
2010009871,1,0,0,0,0,0,0,0,0,0
2010071231,0,0,0,0,1,0,0,0,0,0
2011001093,0,0,0,0,0,1,0,0,0,0
2010052641,0,0,0,0,0,0,0,0,0,1
2010067225,0,0,0,0,0,1,0,0,0,0
2010109386,1,1,0,0,0,0,0,0,0,0
2010122975,1,0,0,0,0,0,0,0,1,0
2010017852,0,0,0,0,0,0,0,0,1,0
2010114449,0,0,0,0,0,1,0,0,0,0
2010044039,0,1,0,0,0,1,0,0,1,0
2010030421,0,0,0,0,0,0,0,0,0,0
2010104485,1,0,0,0,0,0,0,0,1,1
2010032014,1,0,1,1,1,0,0,1,1,0
2010001084,0,0,0,0,0,0,0,0,0,0
2011004855,0,1,0,0,0,1,0,0,0,0
2010073421,0,0,0,0,0,1,0,0,0,1
2010061984,0,0,0,0,0,1,0,0,0,0
2010050572,0,0,0,0,0,0,1,0,0,0
2010099508,0,1,0,0,0,1,0,0,0,0
2010046368,0,1,0,0,0,0,0,0,0,0
2010025996,0,0,0,0,0,1,0,0,0,0
2010018565,1,0,0,0,0,1,0,0,0,0
2010044470,0,0,0,0,0,0,0,0,0,0
2010100752,0,0,0,0,0,1,0,0,0,0
2010125565,0,0,0,0,0,0,1,1,1,0
2010048068,0,0,0,0,1,0,0,0,0,1
2010044072,0,0,0,0,0,1,0,0,0,0
2010091030,0,0,0,0,0,0,0,0,0,0
2010056726,1,0,0,0,0,0,0,0,0,0
2010061192,0,0,0,0,0,0,1,0,0,0
2010027298,0,0,0,0,0,0,0,0,0,0
2010013499,0,0,0,0,0,1,0,0,0,0
2010041825,0,0,0,0,0,0,0,0,1,0
2010042943,1,0,0,0,0,1,0,0,0,0
2010062038,0,0,1,1,1,0,0,0,1,0
2010084219,0,0,0,0,0,0,0,0,0,0
2010040176,0,0,0,0,0,0,0,0,0,1
2010017918,0,0,0,0,0,0,0,0,0,0
2010099500,0,1,0,0,0,0,0,0,0,1
2010054775,0,1,0,0,0,1,0,0,0,0
2010029169,0,1,0,0,0,0,0,0,0,0
2010050479,0,0,0,0,0,0,1,0,0,0
2010130513,0,0,0,0,0,1,0,0,0,0
2011003882,1,0,0,0,1,0,0,0,1,0
2010039934,0,0,0,0,0,0,0,0,0,1
2010033826,0,0,0,0,0,0,0,0,0,0
2010044976,0,0,0,0,0,1,0,0,0,0
2010040732,0,0,0,0,0,1,0,0,1,0
2010075143,0,0,0,0,0,0,0,0,0,0
2010023419,0,0,0,0,0,0,0,0,0,0
2010078280,0,0,0,0,0,0,0,0,0,0
2010010277,1,0,0,0,0,0,0,0,0,0
2010010044,0,0,0,0,0,0,0,0,1,0
2010031905,0,0,0,0,0,0,0,0,0,0
2010124813,0,0,0,0,0,0,0,0,0,0
2010044269,1,0,0,0,0,0,0,0,1,0
2010116499,0,1,0,0,1,0,0,0,0,0
2010039808,0,1,0,0,0,0,0,0,0,0
2010003586,1,0,1,1,1,0,0,0,0,0
2010097291,0,0,0,0,1,0,0,0,0,0
2010007538,1,0,0,0,1,0,0,0,0,0
2010058234,0,0,0,0,0,0,0,0,0,0
2010028728,0,0,0,0,0,1,0,0,0,0
2010024740,0,0,0,0,0,1,0,0,0,0
2010124877,1,0,0,0,0,0,0,0,0,0
2010037973,0,0,0,0,0,0,1,0,0,0
2010011415,1,0,0,0,0,0,1,0,0,0
2010069466,0,0,0,0,0,0,0,0,0,0
2010114307,0,0,0,0,0,1,0,0,0,0
2010036494,0,0,0,0,0,0,0,0,0,0
2010053869,0,0,0,0,1,1,0,0,0,0
2010006501,1,0,0,0,0,0,0,1,1,0
2010029316,1,0,0,0,1,0,0,0,1,0
2010030148,1,0,0,0,0,0,0,0,0,0
2010009194,0,0,0,0,0,0,1,0,0,0
2010090933,1,0,0,0,0,0,0,0,0,0
2010102403,0,0,0,0,0,1,0,0,0,0
2010127098,0,0,0,0,0,1,0,1,1,1
2010047864,0,0,0,0,0,0,0,0,0,0
2010122736,1,0,0,0,0,0,0,0,1,1
2010020838,0,0,0,0,0,0,1,0,1,0
2010040933,0,0,0,0,0,1,0,0,0,0
2011000691,1,0,0,0,0,0,0,0,0,0
2010110764,0,0,0,0,0,1,0,0,0,1
2010017206,0,0,0,0,0,0,0,0,0,0
2011044620,0,0,0,0,0,1,0,0,0,1
2010050726,0,0,0,0,0,0,0,0,1,1
2010095701,1,0,0,0,0,0,1,0,1,0
2010032106,0,1,0,0,0,0,0,0,0,0
2010009564,0,1,0,0,0,0,0,0,0,0
2010082754,1,0,0,0,0,0,0,0,0,0
2010113265,0,0,0,0,0,0,0,0,0,0
2010129993,1,1,0,0,0,1,0,0,0,0
