CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2007009728,0,0,0,0,0,0,1,0,1,0
2006021945,0,1,0,0,0,1,0,0,1,1
2006036442,1,0,0,0,0,0,1,0,0,0
2006206725,0,0,0,0,0,1,0,0,0,1
2006049128,1,0,0,0,1,1,0,0,0,0
2006073573,1,0,0,0,0,0,0,0,1,0
2006037864,0,0,0,0,0,0,0,0,0,0
2006101246,0,0,0,0,1,1,0,0,0,0
2006208409,1,0,0,0,0,0,0,0,1,1
2006121939,0,0,0,0,0,1,0,0,0,0
2006021895,0,0,0,0,1,0,0,0,0,0
2007009379,0,0,0,0,0,0,0,0,0,0
2006056778,0,0,0,0,0,0,0,0,0,0
2006016118,0,0,0,0,0,1,0,0,0,0
2006109677,0,0,0,0,0,0,0,0,0,1
2006126807,1,0,0,0,1,0,0,1,1,0
2006000115,0,0,0,0,0,1,0,0,1,1
2007011927,0,0,0,0,0,0,0,0,0,0
2006041641,0,1,0,0,0,0,0,0,0,0
2006043963,0,0,0,0,0,0,0,0,0,0
2006109917,0,0,0,0,0,1,0,0,0,0
2006024120,0,1,0,0,0,1,0,0,0,0
2006035940,0,0,0,0,0,1,0,0,0,0
2006046233,0,0,0,0,0,0,0,0,1,0
2006085441,0,0,0,0,0,1,0,0,0,0
2006120566,0,0,0,0,0,0,0,0,1,0
2006111682,1,0,0,0,1,0,0,0,0,0
2007018574,0,0,0,0,1,1,0,0,0,1
2006036081,0,0,0,0,0,1,0,0,0,0
2006062605,0,0,0,0,0,1,0,0,0,1
2006065426,0,0,0,0,0,0,0,0,0,0
2006101874,0,0,1,0,0,0,0,1,1,0
2006206377,0,0,0,0,0,1,0,0,1,0
2006042891,0,0,0,0,0,0,0,0,0,0
2007012080,0,0,0,0,0,0,1,0,0,0
2006069906,0,0,0,0,0,1,0,0,0,0
2006036814,0,0,0,0,0,1,0,0,0,0
2006101957,0,0,0,0,0,1,0,0,0,0
2006086091,0,0,0,0,0,0,0,0,0,0
2006114114,0,0,1,1,1,1,0,0,0,0
2006077794,1,0,0,0,1,0,0,0,1,0
2006044474,0,0,0,0,0,0,0,0,0,0
2006079313,0,0,0,0,0,0,0,0,0,0
2006122605,0,0,0,0,0,0,0,0,1,0
2007004947,0,0,0,0,0,0,0,0,0,0
2006115731,0,0,0,0,0,1,0,0,0,0
2006102852,0,0,0,0,1,1,0,0,0,0
2006073552,1,0,0,0,0,0,1,0,1,0
2006131002,1,0,0,0,0,0,0,0,1,0
2006038731,0,0,0,0,0,1,0,0,0,0
2007059186,1,0,0,0,1,1,0,0,0,0
2006115184,0,0,0,0,0,0,1,0,0,0
2006023967,1,0,0,0,0,1,1,0,0,0
2006040966,1,0,0,0,0,1,0,0,0,1
2006034999,0,0,0,0,0,1,0,0,1,0
2006087222,0,0,0,0,0,0,0,0,0,0
2006084088,0,0,0,0,0,0,0,0,0,0
2006045214,0,0,0,0,0,1,0,0,0,0
2006127353,0,0,0,0,0,1,0,0,0,1
2006029010,0,0,0,0,0,1,0,1,1,0
2006110153,0,0,0,0,0,0,0,0,0,0
2007028101,0,0,0,0,0,0,0,0,0,1
2006119406,0,0,0,0,0,1,0,0,0,0
2006201215,0,0,0,0,0,0,0,0,0,0
2006032060,0,0,0,0,0,1,0,0,0,0
2007009853,0,0,0,0,1,0,0,1,1,0
2006042784,0,0,0,0,1,0,0,0,0,1
2006070297,0,0,0,0,0,0,0,0,0,0
2006097597,0,0,0,0,0,0,0,0,0,0
2006099239,0,0,0,0,0,0,0,0,1,1
2006205344,0,0,0,0,0,1,0,0,0,0
2006205980,1,0,0,0,0,1,0,0,0,0
2006105711,0,0,0,0,0,1,0,0,0,0
2006124439,0,0,0,0,0,1,0,0,0,1
2006061641,0,0,0,0,0,0,0,0,0,0
2006029483,0,0,0,0,0,1,0,0,0,0
2006203627,0,0,0,0,0,0,0,0,0,1
2006056356,0,0,0,0,0,1,0,0,0,0
2007012921,1,0,0,0,0,0,0,0,0,0
2006068613,0,0,0,0,0,0,0,0,0,0
2006102281,1,0,0,0,0,0,0,0,1,0
2006025456,0,0,0,0,0,0,0,0,1,1
2006026144,0,0,0,0,0,1,0,0,0,1
2006038390,0,0,0,0,0,0,0,0,0,0
2007012193,1,0,0,0,0,0,0,0,1,0
2006092426,0,0,0,0,0,1,0,0,0,0
2006047057,0,0,0,0,0,0,0,0,0,0
2006207257,0,0,0,0,0,1,0,0,0,0
2006118478,0,0,0,0,0,1,0,0,0,0
2006080292,0,0,0,0,0,0,0,0,0,0
2007004240,0,0,0,0,0,0,1,0,1,1
2006057698,1,0,0,0,0,0,0,0,0,0
2006048426,0,0,0,0,0,1,0,0,0,0
2006111419,0,1,0,0,0,0,0,0,0,0
2006076824,0,0,0,0,0,0,0,0,0,0
2006123360,0,0,0,0,0,0,0,0,0,0
2006038941,1,0,0,0,0,0,0,0,1,0
2007012498,1,0,0,0,0,1,0,0,0,0
2006104080,0,0,0,0,0,0,0,0,0,0
2006027945,1,0,0,0,0,0,1,0,0,0
2006202306,0,0,0,0,0,1,0,0,0,0
2007008342,0,0,0,0,0,0,1,0,1,0
2006113056,0,0,0,0,0,0,0,0,0,0
2006109606,1,0,0,0,0,0,1,0,1,1
2006124464,0,0,0,0,0,0,0,0,0,0
2006037091,0,0,0,0,0,1,0,0,0,0
2007011771,0,0,0,0,0,0,1,0,0,0
2006054502,0,0,0,0,0,0,0,0,0,0
2006120538,0,0,0,0,0,1,0,0,0,0
2006076046,0,0,0,0,0,0,1,0,0,0
2006049282,0,0,0,0,0,0,0,0,1,0
2006126342,0,1,0,0,0,0,0,1,1,0
2006030603,0,0,0,0,0,1,0,0,0,0
2006095656,0,0,0,0,0,1,0,0,0,0
2007003489,0,0,0,0,0,0,0,0,1,0
2006204775,1,0,0,0,0,0,0,0,1,1
2006113773,0,0,0,0,0,0,0,0,0,0
2006124173,0,0,0,0,0,1,0,0,0,0
2006131626,0,0,0,0,0,1,0,0,0,1
2006015341,0,0,0,0,0,1,0,0,0,1
2006107901,0,0,0,0,0,0,0,0,0,1
2006025925,0,0,0,0,0,1,0,0,0,0
2006118041,0,0,0,0,0,0,0,0,0,0
2006029535,0,0,0,0,0,0,0,0,0,0
2006067899,0,0,0,0,0,0,0,0,0,0
2006048765,0,1,0,0,1,0,0,0,0,0
2006076329,0,0,0,0,0,0,0,0,0,0
2006129341,0,0,0,0,0,1,0,0,1,0
2006028096,0,0,0,0,0,0,0,0,1,0
2006023339,0,0,0,0,0,0,0,0,1,0
2006118482,0,1,0,0,0,0,0,0,0,0
2006119372,0,1,0,0,0,1,1,0,1,0
2006127945,0,0,0,0,1,1,0,0,0,0
2006091589,1,0,0,0,0,0,1,0,1,1
2006129758,1,0,0,0,0,0,0,0,1,0
2006055274,0,0,0,0,0,1,0,0,0,0
2006081696,0,0,0,0,0,1,0,0,0,0
2006126183,1,0,0,0,0,0,0,0,0,0
2006121303,0,0,0,0,0,1,0,0,0,0
2006048767,0,0,0,0,0,1,0,0,0,0
2006118372,0,0,0,0,0,0,0,0,0,0
2006073853,0,0,0,0,0,0,0,0,0,0
2006027622,0,1,0,0,0,0,0,0,0,0
2006200280,0,0,0,0,0,1,0,0,0,0
2006053344,0,0,0,0,0,0,0,0,1,0
