CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2007057367,3.0,4,2.0,594.0,67,E,4,2,4017,60.0,25.0,UPSAL ST
2007099457,,4,4.0,,67,N,3,4,,,35.0,BELMONT AV
2007082503,3.0,3,2.0,2422.0,67,E,3,2,0030,40.0,30.0,LANCASTER AV
2007066317,,3,1.0,,67,S,3,4,,,25.0,MITCHELL ST
2007107773,,5,4.0,,67,N,5,4,,,25.0,TWENTIETH ST
2007098507,,4,1.0,,67,W,3,4,,,25.0,PARRISH ST
2007047795,3.0,5,2.0,3451.0,67,N,5,2,1001,150.0,35.0,VERREE RD
2007058665,3.0,3,4.0,0.0,67,N,3,2,0073,100.0,25.0,NEW STATE RD
2007098266,,3,2.0,,67,N,4,4,,,25.0,33RD ST
2007049068,3.0,3,2.0,2236.0,67,S,3,2,4007,10.0,25.0,CLARISSA ST
2007116618,,3,99.0,,67,W,3,4,,,30.0,SPRUCE ST
2007107528,3.0,3,2.0,0.0,67,E,3,2,3008,40.0,,CHESTNUT ST
2007081670,3.0,3,2.0,457.0,67,S,3,2,4005,30.0,25.0,GERMANTOWN AV
2007094984,,3,1.0,,67,E,3,4,,,25.0,BAINBRIDGE ST
2007057784,,3,2.0,1788.0,67,W,3,2,3004,41.0,,SIXTYTHIRD ST
2007097319,1.0,3,2.0,1280.0,67,W,3,1,0076,3401.0,50.0,SCHUYLKILL EX
2007048923,3.0,3,2.0,1258.0,67,E,3,2,0073,110.0,35.0,NEW STATE RD
2007092070,,4,2.0,,67,N,3,4,,,25.0,BROAD ST
2007106463,,3,4.0,,67,N,3,4,,,35.0,BROAD ST
2007048897,1.0,3,3.0,300.0,67,N,3,1,0095,124.0,55.0,PACKER AV
2007093570,,4,2.0,,67,S,4,4,,,25.0,BLUE GRASS RD
2008017339,3.0,3,2.0,599.0,67,E,3,2,3005,90.0,30.0,LANCASTER AV
2007125117,3.0,3,2.0,799.0,67,S,3,2,2001,31.0,30.0,OREGON AV
2007082208,3.0,4,2.0,0.0,67,S,4,2,1009,61.0,25.0,BUSTLETON AV
2007065753,,4,1.0,,67,N,3,4,,,25.0,D ST
2007107505,,5,99.0,,67,E,4,4,,,,SOMERSET ST
2007080969,3.0,3,2.0,496.0,67,W,3,2,3019,100.0,35.0,PASSYUNK AV
2007065768,3.0,3,2.0,2148.0,67,S,3,2,3019,61.0,35.0,PASSYUNK AV
2007027975,,3,2.0,,67,W,4,4,,,25.0,PARLIN ST
2007120246,,3,1.0,,67,W,3,4,,,35.0,W OXFORD ST
2007049030,3.0,3,3.0,2430.0,67,N,3,2,6001,230.0,40.0,ROOSEVELT BL
2007092930,,4,1.0,,67,N,3,4,,,25.0,53RD ST
2007106049,,3,2.0,,67,U,3,4,,,25.0,MALVERN AV
2007080960,,3,2.0,,67,W,4,4,,,35.0,WINDRIM AV
2007047690,,3,2.0,,67,N,4,4,,,,13TH ST
2007093372,3.0,3,2.0,1246.0,67,N,3,2,0073,80.0,30.0,TORRESDALE AV
2007120719,,4,99.0,,67,S,3,4,,,,COLUMBUS BL
2007029271,,3,99.0,,67,W,4,4,,,,CLEMENTINE ST
2007108527,3.0,6,3.0,3589.0,67,W,6,2,3002,21.0,,EIGHTYFOURTH ST
2007107815,1.0,5,1.0,1192.0,67,W,5,2,8004,260.0,,
2007100118,1.0,3,4.0,1037.0,67,W,3,1,0076,3421.0,50.0,SCHUYLKILL EX
2007045748,,4,2.0,,67,N,3,4,,,,6TH ST
