CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2007033296,0,0,0,0,0,0,1,0,1,1
2007069738,0,0,0,0,0,1,0,0,0,0
2007101611,0,0,0,0,0,0,0,0,0,0
2007120240,0,0,0,0,0,0,0,0,1,0
2007049070,0,0,0,0,0,1,0,0,1,0
2007111061,0,0,0,0,0,1,0,0,1,0
2007031685,0,0,0,0,0,0,0,0,0,1
2008024360,0,0,0,0,0,0,0,0,0,1
2008005814,0,0,0,0,1,0,0,0,0,0
2007062855,1,0,0,0,1,1,0,0,1,1
2007202178,0,0,0,0,0,0,0,0,0,0
2007116359,0,0,0,0,0,0,0,0,0,0
2007006421,0,0,0,0,0,0,0,0,1,0
2007055270,0,0,0,0,0,1,0,0,0,0
2007077803,0,0,0,0,0,0,1,0,0,0
2007120118,0,0,0,0,0,1,0,0,0,0
2007049935,0,1,0,0,0,1,0,0,0,0
2007014901,1,0,0,0,0,0,0,0,0,0
2007072129,0,0,0,0,0,1,0,0,0,0
2007084472,1,0,0,0,0,0,0,0,0,0
2007034881,1,0,0,0,0,0,0,0,1,0
2007206020,0,0,0,0,0,0,0,0,0,0
2007206144,0,0,0,0,0,1,0,0,0,1
2008006970,0,0,1,1,1,1,0,0,0,0
2007026971,1,0,0,0,0,0,0,0,0,0
2007084205,0,0,0,0,0,0,0,0,0,0
2007077689,0,0,0,0,0,1,0,0,0,0
2007124825,0,0,0,0,0,1,0,0,0,0
2007040541,0,0,0,0,0,1,0,0,0,0
2007040668,1,0,0,0,0,0,0,0,0,0
2007112157,1,0,0,0,0,0,0,0,1,0
2007123092,0,1,0,0,0,0,1,0,0,0
2007048267,1,0,0,0,0,0,0,0,1,0
2007051352,0,0,0,0,0,0,0,0,0,1
2007200786,0,0,0,0,0,0,0,0,0,0
2008038910,1,0,0,0,0,0,0,0,1,1
2007012283,0,0,0,0,0,0,0,0,1,0
2007032494,0,1,0,0,0,1,0,0,0,1
2007017101,1,0,0,0,0,0,0,0,0,0
2007045271,0,0,0,0,0,1,0,0,0,0
2007048787,1,0,0,0,0,0,0,1,1,0
2007061813,0,0,0,0,0,0,0,0,0,0
