CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2009044471,3.0,4,3.0,2000.0,67,W,4,2,2676.0,11.0,25.0,VINE ST
2009118414,1.0,3,3.0,2239.0,67,E,3,1,76.0,3394.0,50.0,SCHUYLKILL EX
2009025894,,3,2.0,,67,W,3,4,,,30.0,THIRTYFIRST ST
2009039085,3.0,3,3.0,799.0,67,E,3,2,2676.0,14.0,25.0,VINE ST
2009120755,3.0,3,2.0,1415.0,67,N,3,2,1004.0,40.0,30.0,ERIE AV
2009049786,,3,1.0,,67,N,4,4,,,25.0,22ND ST
2009056454,,3,2.0,,67,W,4,4,,,25.0,CHURCH LN
2009109616,1.0,3,3.0,65.0,67,E,3,1,76.0,3420.0,50.0,SCHUYLKILL EX
2009049539,,3,2.0,,67,N,3,4,,,35.0,11TH ST
2009056484,3.0,3,2.0,1979.0,67,E,3,2,1004.0,10.0,35.0,ERIE AV
2009038712,3.0,3,2.0,560.0,67,N,3,2,3009.0,140.0,35.0,RIDGE AV
2009120774,,4,1.0,,67,E,3,4,,,,WALLACE ST
2009025824,,3,1.0,,67,W,4,4,,,25.0,MCKEAN ST
2009093023,,3,2.0,,67,N,4,4,,,25.0,OLD YORK RD
2009111579,3.0,3,2.0,0.0,67,S,3,2,13.0,260.0,30.0,FRANKFORD AV
2009048907,3.0,3,2.0,602.0,67,E,3,2,4004.0,90.0,25.0,OLNEY AV
2009067435,,6,2.0,,46,N,6,4,,,,MAPLE AV
2009049068,,4,1.0,,67,S,4,4,,,25.0,FIFTEENTH ST
2009120729,,4,2.0,,67,N,3,4,,,35.0,MAGDALENA ST
2009044872,1.0,3,2.0,35.0,67,E,3,2,63.0,52.0,55.0,WOODHAVEN RD
2009064874,,3,2.0,,67,W,3,4,,,25.0,WINCHESTER ST
2009044274,3.0,4,2.0,1208.0,67,S,4,2,1003.0,31.0,35.0,WHITAKER AV
2009097566,1.0,3,4.0,2158.0,67,N,3,1,95.0,294.0,55.0,DELAWARE EX
2009025622,3.0,3,2.0,1803.0,67,S,3,2,4001.0,111.0,35.0,HENRY AV
2009115674,1.0,3,3.0,2513.0,67,E,3,1,76.0,3424.0,50.0,SCHUYLKILL EX
2009094099,3.0,3,2.0,467.0,67,E,3,2,2004.0,30.0,,MARKET ST
2009049780,,3,1.0,,67,W,3,4,,,,ROBINA ST
2009054546,,3,99.0,,67,N,3,4,,,,LOUDEN ST
2009078859,3.0,4,2.0,346.0,67,S,4,2,1013.0,91.0,35.0,ACADEMY RD
2009071395,3.0,4,3.0,0.0,67,N,4,2,6001.0,300.0,45.0,ROOSEVELT BL
2009025642,3.0,5,2.0,641.0,67,N,5,2,1009.0,14.0,25.0,BRIDGE ST
2009037456,,3,2.0,,67,W,4,4,,,25.0,COURTLAND ST
2009111150,,4,1.0,,67,S,4,4,,,,BROCKTON RD
2009050214,1.0,3,4.0,111.0,67,N,3,1,95.0,244.0,55.0,DELAWARE EX
2009056424,,3,2.0,,67,S,4,4,,,25.0,46TH ST
2009079243,3.0,3,2.0,1197.0,67,E,3,2,1005.0,60.0,,CASTOR AV
2009120859,3.0,5,2.0,308.0,67,N,5,2,4005.0,10.0,25.0,GERMANTOWN AV
2009125435,,4,2.0,,67,S,3,4,,,25.0,FIFTEENTH ST
2009034368,1.0,3,3.0,1749.0,67,S,3,1,95.0,271.0,55.0,DELAWARE EX
2009111218,,3,2.0,,67,N,4,4,,,35.0,OGONTZ AV
2009049632,,4,2.0,,67,W,3,4,,,25.0,CHESTER AV
2009059722,3.0,3,2.0,107.0,67,E,5,2,1018.0,30.0,30.0,GRANT AV
2009111833,3.0,3,2.0,107.0,67,E,4,2,1018.0,30.0,,GRANT AV
2009120714,,4,2.0,,67,E,3,4,,,,LUZERNE ST
2009111756,3.0,4,2.0,0.0,67,S,4,2,2009.0,51.0,,ARAMINGO AV
2009063887,3.0,3,4.0,3324.0,67,S,3,2,3007.0,75.0,35.0,KELLY DR
