OBJECTID,STATEWIDE_ID,DISTRICT_ID,STATUS_ID,MPMS_PROJ_ID,PLAN_DEPLOY_YEAR,INSTALL_TYPE_ID,STRUCT_TYPE_ID,POLE_HEIGHT,LOC_DISTRICT_NO,OWNER_DISTRICT_NO,LOCATION_DESC,MILE_MARKER,EXIT_NUMBER,CTY_CODE,ST_RT_NO,JURIS,SEG_NO,OFFSET,LATITUDE,LONGITUDE,SOURCE_IS_LATLONG,SIDE_IND,MANUFACTURER,MODEL,POWER_TYPE_ID,COMM_TYPE_ID,INSTALLATION_DATE,URL,IS_FROM_STATEWIDE,IS_FROM_REGIONAL,IS_FROM_ROPS,IS_FROM_MPMS,RECORD_UPDATE,ID,GIS_UPDATE_DATE,GIS_GEOMETRY_UPDATE_DATE,SE_ANNO_CAD_DATA,GPID,Has Geometry
8479,CAM-06-305,CM 1107,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Ashburner St.,999.9000244,999,67,1004,1,0200,37,40.04031,-75.01526,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06305CM1107.flv.jpg,,,,,3/25/2024 8:51:10 PM,602,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8479,Y
8480,CAM-06-306,CM 1108,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Linden Ave.,999.9000244,999,67,1004,1,0220,1807,40.05037,-74.99971,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06306CM1108.flv.jpg,,,,,3/25/2024 8:51:10 PM,603,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8480,Y
8481,CAM-06-307,CM 1109,1,79683,2010,1,8,55,06,06,State Rd. at Princeton Ave.,999.9000244,999,67,1007,1,0080,0,40.02392,-75.03526,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06307CM1109.flv.jpg,,,,,3/25/2024 8:51:10 PM,604,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8481,Y
8482,CAM-06-308,CM 1110,1,79683,2010,1,8,55,06,06,State Rd. at Cottman Ave.,999.9000244,999,67,1007,1,0080,35,40.02565,-75.03149,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06308CM1110.flv.jpg,,,,,3/25/2024 8:51:11 PM,605,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8482,Y
8483,CAM-06-309,CM 1111,1,79683,2010,1,8,55,06,06,Aramingo Ave. & Tacony St.,999.9000244,999,67,2009,1,0080,2486,40.00805,-75.0724,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06309CM1111.flv.jpg,,,,,3/25/2024 8:51:11 PM,606,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8483,Y
8484,CAM-06-310,CM 1112,1,79683,2010,1,8,55,06,06,Harbison Ave. & Sanger St.,999.9000244,999,67,2009,1,0100,782,40.01684,-75.06683,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06310CM1112.flv.jpg,,,,,3/25/2024 8:51:11 PM,607,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8484,Y
8485,CAM-06-311,CM 1113,1,80094,2010,1,8,55,06,06,I-95 Girard Avenue offramp,999.9000244,999,67,9999,1,,,39.97332,-75.12287,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06311CM1113.flv.jpg,,,,,3/25/2024 8:51:12 PM,608,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8485,Y
9123,CAM-09-001,C_D2_99-51.5_1,1,,2008,1,6,50,09,09,I-99 & SR 0350 (Bald Eagle),51.5,,07,0099,1,0514,491,40.7107,-78.18892,T,1,,,2,,2/1/2008 12:00:00 AM,http://10.28.0.245/thumbs/CAM09001BCCTV1.flv.jpg,,,,,3/25/2024 10:14:28 PM,2077,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,9123,Y
9131,CAM-04-030,PC_D4_81-166.8,1,,2007,3,8,30,04,04,In median near Blackman Street in Crossover,166.8000031,,57,0081,1,2054,0,41.22655,-75.87404,T,1,,,3,2,1/1/2007 12:00:00 AM,na,,,,,3/25/2024 8:46:05 PM,2085,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,9131,Y
9161,CAM-04-032,PC_D4_81-183,1,,2007,3,8,30,04,04,I-81 MM 183,183.1999969,,35,0081,1,1830,1276,41.382131,-75.664511,T,1,,,3,2,1/1/2007 12:00:00 AM,na,,,,,3/25/2024 8:46:05 PM,2115,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,9161,Y
8613,CAM-09-026,C_D9_22-Cresson_26,1,,2006,1,6,50,09,09,US22 Overpass - Cresson/Summit Interchange,,,11,0022,1,0400,116,40.457,-78.56698,T,1,,,2,,1/27/2006 12:00:00 AM,http://10.28.0.245/thumbs/CAM09026CCTV26.flv.jpg,,,,,3/25/2024 10:14:38 PM,1086,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8613,Y
