CRN,AGE,AIRBAG_PADS,AIRBAG1,AIRBAG2,AIRBAG3,AIRBAG4,CLOTHING_TYPE,DVR_LIC_STATE,DVR_PED_CONDITION,EJECT_PATH_CD,EJECTION_IND,EXTRIC_IND,INJ_SEVERITY,NON_MOTORIST,PED_LOCATION,PED_SIGNAL,PERSON_NUM,PERSON_TYPE,RESTRAINT_HELMET,SEAT_POSITION,SEX,TRANSPORTED,TRANSPORTED_BY,UNIT_NUM,VULNERABLE_ROAD_USER
2009029877,15,0,,,,,9,  ,9.0,0,0,0,3,1,99,2,1,7,0,0,M,N,,2,1
2009029877,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,1,0
2009029877,15,0,,,,,9,  ,9.0,0,0,0,3,1,99,2,1,7,0,0,M,N,,2,1
2009029877,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,1,0
2009044304,40,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,M,Y,,3,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,1,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,2,0
2009044304,40,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,M,Y,,3,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,1,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,2,0
2009044304,40,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,M,Y,,3,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,1,0
2009044304,99,99,,,,, ,  ,9.0,0,0,0,0,0,  , ,1,1,99,1,U, ,,2,0
2009044422,41,0,,,,, ,PA,0.0,0,0,0,4,0,  , ,2,2,3,3,M,N,,2,0
2009044422,45,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,1,0
2009044422,38,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,3,2,3,5,M,N,,1,0
2009044422,31,0,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,3,1,M,N,,2,0
