CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2010011194,2009,,0,,,7.0,2
2009078943,2009,,0,PA,XN78696,8.0,1
2009029982,2009,,0,IL,TJO0S0,7.0,2
2009049519,2009,,0,,,8.0,2
2009100600,2009,,0,,T02Y8IK,3.0,2
2009039553,2009,,0,NJ,T7HY6B,6.0,1
2009117798,2009,,0,VT,AHY737,7.0,1
2009054449,2009,,0,,SLMN4,8.0,1
2010006414,2009,,0,ME,075BI,7.0,1
2009025444,2009,,0,,PV38492,7.0,1
2009083146,2009,,0,TN,T436997,7.0,2
2009108867,2009,,0,,,7.0,2
2009035251,2009,,0,ME,1357498,7.0,1
2009054908,2009,,0,PA,FI6243H,7.0,1
2009067470,2009,,0,,,9.0,1
2009068529,2009,,0,,,9.0,2
2009073631,2009,,0,ME,1276259,7.0,2
2009091992,2009,,0,,,6.0,2
2009029755,2009,,0,,,6.0,2
2009044119,2009,,0,IL,33MW6T,7.0,2
2010011110,2009,,0,NJ,TCS76H,7.0,2
2009052090,2009,,0,,,1.0,2
2009067128,2009,,0,,,8.0,1
2009085856,2009,,0,FL,1184CB,7.0,2
2009111585,2009,,0,,TEUQW,7.0,1
2009048245,2009,,0,MO,11C0FZ,7.0,2
2009056666,2009,,0,NJ,TBX87S,7.0,1
2009049309,2009,,0,,,1.0,2
2009132543,2009,,0,OK,3677EB,6.0,2
2010011437,2009,,0,,,1.0,2
2009036962,2009,,0,,,9.0,1
2009079005,2009,,0,PA,XDH6223,7.0,2
2009115674,2009,,0,OH,TPC5532,6.0,2
2009128745,2009,,0,TN,T419186,7.0,2
2010001673,2009,,0,NJ,TEK68L,7.0,1
2009059010,2009,,0,IL,5948851,7.0,2
2009056504,2009,,0,,,7.0,2
2009067050,2009,,0,,,6.0,1
2009067571,2009,,0,ME,I0648H,7.0,2
2009100696,2009,,0,,,9.0,2
2010002806,2009,,0,PA,XSM37U0,3.0,1
2009071624,2009,,0,,,1.0,1
2009099475,2009,,0,NJ,T81H1W,7.0,2
2009079510,2009,,0,,,6.0,2
2009095640,2009,,0,PA,XY50300,3.0,1
2009100747,2009,,0,IL,T343B53,7.0,1
2009049427,2009,,0,PA,M60293D,9.0,1
2009067894,2009,,0,PA,PR3822G,7.0,1
2009081656,2009,,0,,,2.0,2
2009058292,2009,,0,PA,6341L,6.0,1
2009071377,2009,,0,,,6.0,1
2009109279,2009,,0,OK,4174FS,7.0,1
2010004867,2009,,0,NJ,T58X4G,6.0,2
2009035243,2009,,0,IA,3514BT,7.0,3
2009067644,2009,,0,,,6.0,2
2009087928,2009,,0,NJ,T7G783,7.0,1
2009050212,2009,,0,MI,B501626,7.0,2
2009047414,2009,,0,NY,2IJ5BI,7.0,2
2009086599,2009,,0,NY,AG27295,7.0,2
2009086201,2009,,0,,B3S2958,6.0,2
2009111430,2009,,0,,,1.0,1
2009125426,2009,,0,,,7.0,1
2009035243,2009,,0,NJ,T95G2L,7.0,2
2009049480,2009,,0,MO,876W0,6.0,1
2009050208,2009,,0,PA,XDY8546,8.0,1
2009100665,2009,,0,,,7.0,1
2009068633,2009,,0,ZZ,UNKNOWN,7.0,4
2009103604,2009,,0,MD,728613G,7.0,2
2009109611,2009,,0,AZ,74493,6.0,1
2009065136,2009,,0,,,9.0,3
2010018885,2009,,0,,,1.0,2
2009071411,2009,,0,,,7.0,2
2009092918,2009,,0,ME,2SI287,7.0,2
2009092922,2009,,0,NV,TCC68Y,7.0,2
2009105786,2009,,0,,,7.0,1
2009066417,2009,,0,,,7.0,2
2009074455,2009,,0,,,1.0,1
2009039091,2009,,0,PA,M8849G,7.0,2
2009056340,2009,,0,,,7.0,1
2009115677,2009,,0,ME,1651056,6.0,1
2009007829,2009,,0,PA,PT4127L,6.0,2
2009111790,2009,,0,,,6.0,2
2009048666,2009,,0,,7IRI0E,6.0,1
2009048776,2009,,0,,170997,7.0,3
2009077205,2009,,0,PA,PT5438L,7.0,2
2009111421,2009,,0,ME,IA49590,7.0,1
2009114133,2009,,0,NJ,AJ570C,2.0,2
2009047413,2009,,0,PA,XDX6508,3.0,1
2009105724,2009,,0,MA,I3552Z6B,7.0,1
2009106827,2009,,0,MN,8495STA,7.0,1
2009118950,2009,,0,,,3.0,1
2009124865,2009,,0,PA,X0B7786,3.0,2
2009025603,2009,,0,ME,Q42H7,7.0,2
2009030438,2009,,0,,4JY8BY,6.0,1
2009035250,2009,,0,UT,A507205,7.0,2
2009049519,2009,,0,,,9.0,1
2009067128,2009,,0,,,8.0,2
2009125453,2009,,0,,B95D2,6.0,2
2009028280,2009,,0,NJ,T52X7X,7.0,1
2009048232,2009,,0,PA,XR56081,7.0,1
2009100515,2009,,0,AZ,I2J8I0I,7.0,1
2009044374,2009,,0,,4QI5,8.0,2
2009047079,2009,,0,,,6.0,2
2009064800,2009,,0,PA,PT5380L,7.0,1
2009079254,2009,,0,,,7.0,3
2009118905,2009,,0,,A567BM,7.0,1
2009044377,2009,,0,,I6508,6.0,2
2009049562,2009,,0,NY,IW7B4,6.0,2
2009066322,2009,,0,ME,1278008,6.0,2
2009069946,2009,,0,,XBGW8W,3.0,1
2009124391,2009,,0,NC,A0975,3.0,2
2010003195,2009,,0,,,1.0,2
2010005731,2009,,0,,,7.0,1
2009056360,2009,,0,,7VI4K,6.0,2
2009093174,2009,,0,,0,,2
2009099611,2009,,0,ME,1286166,7.0,2
2009029981,2009,,0,,AIIIBK,6.0,1
2009093548,2009,,0,,,9.0,1
2009094671,2009,,0,ME,AE81539,6.0,3
2009108306,2009,,0,SD,5003A48,6.0,2
2009110041,2009,,0,PA,AF38419,6.0,1
2009128746,2009,,0,TN,T954338,7.0,1
2009048940,2009,,0,,,9.0,2
2009069358,2009,,0,FL,,6.0,2
2009109158,2009,,0,ON,E7645T,7.0,2
2010003681,2009,,0,,,7.0,1
2009067894,2009,,0,PA,AE60231,7.0,2
2009109611,2009,,0,ME,143626,6.0,2
2009064667,2009,,0,,,1.0,1
2009093167,2009,,0,,7B5G0,7.0,1
2009030802,2009,,0,,T69L8U,7.0,1
2009111094,2009,,0,,,1.0,1
2009060269,2009,,0,,,8.0,1
2010011423,2009,,0,,,9.0,3
2009030187,2009,,0,NY,AP2YD0,7.0,2
2009036751,2009,,0,TN,TNUB8,7.0,2
2009086216,2009,,0,,,6.0,1
2009099612,2009,,0,IL,T258621,7.0,1
2009056032,2009,,0,PA,XL37243,8.0,1
2009037372,2009,,0,,8O0MFIH,3.0,2
2009120254,2009,,0,,,9.0,2
2009130605,2009,,0,NJ,TCB78A,6.0,1
2009019575,2009,,0,TN,U065516,7.0,1
2009067093,2009,,0,,,6.0,1
2009101037,2009,,0,,0I,,1
2009085948,2009,,0,,,6.0,1
2009096966,2009,,0,IL,T44BO8S,7.0,2
2009111834,2009,,0,ME,6I585,7.0,1
2009101135,2009,,0,PA,XCZ6293,7.0,1
2009074576,2009,,0,KY,35079PI,7.0,2
2009105202,2009,,0,ME,1556519,7.0,2
2010011068,2009,,0,,,2.0,2
2009113537,2009,,0,OK,4735EZ,6.0,1
2009124413,2009,,0,,NIR,,2
2009027342,2009,,0,TN,U036635,6.0,1
2009078301,2009,,0,ZZ,UNKNOWN,7.0,2
2009100631,2009,,0,,P7IG6,6.0,1
2009111137,2009,,0,GA,2C5850,6.0,1
2009017400,2009,,0,NJ,T57U5T,6.0,1
2009044024,2009,,0,,,3.0,1
2009101007,2009,,0,,,1.0,4
2009133784,2009,,0,CA,4GE5859,7.0,1
2009067558,2009,,0,PA,M7046E,7.0,2
2009125174,2009,,0,,I4QH774,6.0,1
2010006364,2009,,0,ZZ,999999999999,7.0,2
2009079171,2009,,0,OR,HS8547,7.0,2
2009092581,2009,,0,ZZ,UNKNOWN,7.0,2
2010003560,2009,,0,ME,I03829,7.0,2
2009065456,2009,,0,,,9.0,2
2009033750,2009,,0,ME,1065515,7.0,1
2009038715,2009,,0,TN,T932Z96,7.0,2
2009039756,2009,,0,,,2.0,2
2009050449,2009,,0,PA,XFA7833,3.0,2
2009054297,2009,,0,,,1.0,2
2009067611,2009,,0,,I73B69Y,7.0,2
2009087576,2009,,0,VA,723632TR,7.0,2
2009120581,2009,,0,,I7E6BJ,7.0,2
2009058289,2009,,0,TN,T863770,7.0,3
2009037400,2009,,0,PA,G570,3.0,1
2009049310,2009,,0,,,1.0,2
2009067296,2009,,0,,N0NE,8.0,1
2009013173,2009,,0,ZZ,999999999999,7.0,1
2009018677,2009,,0,QC,L372910,7.0,2
2009112373,2009,,0,PA,PT6509C,7.0,2
