CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2009091932,819.0,2,0,0,0,0,0,0,0,0,1,0,,67,9,2009,4,39.9531,-75.141,800.0,6,0,0,0,0,0,0,0,0,,0,0,0,7,1,0,0,,0,39 57:11.530,,0,75 08:27.514,0,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,0,,1,1,,N,N,,0,,0,0,0,0,0,,754,0,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2009081863,1622.0,1,0,0,0,0,0,0,0,0,8,0,,67,7,2009,7,39.9517,-75.1582,1621.0,6,0,0,0,0,0,0,0,0,,0,0,0,16,1,1,1,,0,39 57:05.956,,0,75 09:29.697,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,,1,1,,N,N,,0,,0,0,0,2,2,,1620,1,2,0,0,1,1,0,3,4,0,1,3,,N,,,,,,,,,,,
2009084535,525.0,1,0,0,0,0,0,0,0,0,1,0,,67,5,2009,3,39.95,-75.2229,517.0,6,0,0,0,0,0,1,0,0,,0,0,0,5,1,4,1,,0,39 56:59.960,,0,75 13:22.558,4,0,0,0,67301,0,0,0,N,0,0,0,4,67301,4,,1,1,,N,N,,0,,0,0,0,3,3,,515,4,2,0,0,4,0,0,3,4,1,2,3,,N,,,,,,,,,,,
2009079502,104.0,1,0,0,0,0,0,0,0,0,1,0,,67,7,2009,2,39.8946,-75.2367,101.0,6,0,0,0,0,0,0,0,0,4.0,0,0,0,0,3,2,1,,2,39 53:40.603,7.0,0,75 14:12.181,2,0,1,1,67301,0,0,0,N,0,0,0,4,67301,0,,1,1,,N,N,,0,,1,1,0,3,2,Y,57,2,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2009100614,1800.0,1,0,0,0,0,0,0,0,0,1,0,,67,9,2009,3,40.0592,-75.0514,1745.0,6,0,0,0,0,0,1,0,0,,0,0,0,17,1,1,0,,0,40 03:33.130,,0,75 03:05.103,4,0,0,0,67301,0,0,0,,0,0,0,2,67301,1,,9,1,,,,,0,,0,0,1,0,0,,1740,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2009105971,1807.0,1,0,0,0,0,0,0,0,0,8,0,,67,10,2009,7,40.0391,-75.1251,1806.0,6,0,0,0,0,0,0,0,0,,0,0,0,18,1,1,0,,0,40 02:20.695,,0,75 07:30.273,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,,1,1,,N,N,,0,,0,0,0,0,0,,1800,1,2,0,0,0,1,0,3,4,0,1,3,,N,,,,,,,,,,,
2009100647,30.0,1,0,0,0,0,0,0,0,0,4,0,,67,9,2009,4,39.8946,-75.2367,24.0,6,0,0,0,0,0,2,0,0,3.0,0,0,0,23,2,3,5,,1,39 53:40.603,1.0,0,75 14:12.181,4,0,0,0,67301,0,0,0,N,0,0,0,4,67301,3,,1,1,,N,N,,1,,0,0,0,2,2,Y,2330,3,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2009044216,750.0,2,0,0,0,0,0,0,0,0,4,0,,67,3,2009,2,40.0484,-75.0318,745.0,6,0,0,0,1,0,0,0,0,3.0,0,0,0,7,1,1,0,,2,40 02:54.309,6.0,0,75 01:54.386,4,0,0,0,67301,0,0,0,N,0,0,0,3,67301,1,,1,1,,N,N,,0,,0,0,0,0,0,Y,745,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2009044255,1216.0,0,0,0,0,0,0,0,0,0,8,0,,67,3,2009,4,39.9603,-75.1969,1215.0,6,0,0,0,0,0,0,0,0,,0,0,0,15,1,1,1,,0,39 57:37.159,,0,75 11:49.177,4,0,0,0,67301,1,0,0,N,1,0,0,2,67301,1,,1,1,,N,N,,0,,0,0,1,3,2,,1509,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2009044295,1308.0,0,0,0,0,0,0,0,0,0,5,0,,67,4,2009,5,40.012,-75.1505,1259.0,6,0,0,0,0,0,1,0,0,,0,0,0,11,1,1,0,,0,40 00:43.529,,0,75 09:01.850,8,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,,0,,0,0,0,9,2,,1152,1,2,0,0,0,1,0,3,4,2,2,3,,N,,,,,,,,,,,
