CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2009044427,99.0,9,2200 E ADAMS AVE,,PHILADELPHIA,PA,19124,ADVANCED DISPOSAL INC,9999999999,73280.0,,,,,N,,,,,,N,,,,,,,2,,99
2009054908,5.0,1,671 SOUDER RD,,SOUDERTON,PA,18964,INDIAN VALLEY TRUCKING INC,2157237625,80000.0,,,,,N,,,,,,N,,,,,,,1,,8
2009056968,99.0,8,4300 ARAMINGO AVE,,PHILADELPHIA,PA,19124,DURHAM SCHOOL SERVICE,2155351200,,,,,,N,,,,,,N,,,,,,,1,350651.0,11
2009057224,99.0,9,2100 BYBERRY RD,,HNTINGDON VALLEY,PA,19006,CARR & DUFF INC,9999999999,,,,,,N,,,,,,U,,,,,,,1,,99
2009057224,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2009063882,99.0,9,409 SOUTH AVE,,HOLMES,PA,19043,HAMID FARID,9999999999,80000.0,,,,,N,,,,,,U,,,,,,,1,,5
2009064683,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2009079171,5.0,1,1732 W HUBBARD ST 1C,,CHICAGO,IL,60622,CHALLENGER EXPRESS INC,9999999999,80000.0,,,,,N,,,,,,N,,,,,,,2,1563101.0,8
2009093580,99.0,8,2301 CHURCH ST,,HUNTINGTON VALLEY,PA,19106,PHILADELPHIA COACH LIMO INC,9999999999,,,,,,N,,,,,,N,,,,,,,2,,10
2009029877,99.0,8,UNKNOWN,,PHILADELPHIA,PA,99999,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009056978,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,U,,,,,,,1,,10
2009065766,2.0,1,7013 MADISON STREET,,WEST NEW YORK,NJ,07093,BEEF INTERNATIONAL CORP.,8562831798,33000.0,,,,,N,,,,,,N,,,,,,,2,382346.0,3
2009068633,99.0,9,UNKNOWN,,UNKNOWN,ZZ,999999999,UNKNOWN,9999999999,999999.0,,,,,N,,,,,,U,,,,,,,4,,8
2009079202,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2009081650,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009085948,99.0,1,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999,,,,,,N,,,,,,N,,,,,,,1,,6
2009111614,99.0,9,747 W ALLEGHENY AVE,,PHILADELPHIA,PA,19133,UHAUL,9999999999,,,,,,N,,,,,,N,,,,,,,2,,5
2010003172,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010006263,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2010006383,99.0,8,9025 RIVRE RD,,INDIANAPOLIS,IN,46240,DURHAM SCHOOL SERVICE,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2010018960,99.0,9,5250 OLD MAUMEE RD,,UNKNOWN,IN,99999,PENSKE,9999999999,,,,,,N,,,,,,N,,,,,,,2,,5
2009056957,2.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,2,,11
2009066334,2.0,1,3360 STOCKLEY ST,,PHILADELPHIA,PA,19129,MR. LEY SEAFOOD,2152236811,25950.0,,,,,N,,,,,,N,,,,,,,1,399858.0,9
2009109611,3.0,1,629 DUSTY HILL ROAD,,CONWAY,NC,27820,GRANT TRUCKING,2522879386,80000.0,,,,,N,,,,,000300908,N,,,,,,,1,643319.0,6
2009109611,3.0,1,629 DUSTY HILL ROAD,,CONWAY,NC,27820,GRANT TRUCKING,2522879386,80000.0,,,,,N,,,,,000300908,N,,,,,,,2,643319.0,6
2009125280,2.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,3,,11
2009044374,99.0,1,225 DEROVSSE,,PENNSAUKEN,NJ,99999,TK-TRANSPORT INC.,9999999999,,,,,,N,,,,,,N,,,,,,,2,,99
2009047417,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2010006281,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009025444,99.0,1,LLC PO BOX 12,,HAMPTON,SC,29924,STONE TRUCKING,9999999999,,,,,,,,,,,,N,,,,,,,1,,8
2009048228,2.0,1,3660 SOUTH LAWRENCE ST.,,PHILADELPHIA,PA,19148,NOVICK BROTHERS CORP.,2154671400,33000.0,,,,,N,,,,,,N,,,,,,,1,338927.0,3
2009049488,2.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155805301,,,,,,N,,,,,,N,,,,,,,1,,11
2009049488,2.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155805301,,,,,,N,,,,,,N,,,,,,,3,,11
2009063990,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009074693,99.0,8,3101 ORTHODOX ST,,PHILADELPHIA,PA,19137,YELLOWBIRD BUS CO INC,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009081539,99.0,8,6821 NORWITCH DR,,PHILADELPHIA,PA,19153,ALL CITY TRANSPORTATION INC,9999999999,,,,,,N,,,,,,N,,,,,,,2,,11
2009083654,99.0,8,2905 ABBOTTSFORD AVE,,PHILADELPHIA,PA,19129,PHILLY TRANSPORTATION LLC,9999999999,999999.0,,,,,N,,,,,,N,,,,,,,1,,11
2009096773,2.0,1,179-02 150TH AVENUE,,JAMAICA,NY,11434,SKYWAY SYSTEMS CORP,7186568899,33000.0,,,,,N,,,,,,N,,,,,,,3,639882.0,3
2009100063,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155807100,,,,,,N,,,,,,U,,,,,,,3,,11
2009112373,3.0,2,600 PACKER AVE,,PHILADELPHIA,PA,19148,SYSCO FOODS,6092063135,65000.0,,,,,N,,,,,,N,,,,,,,2,60000.0,8
2009120147,3.0,7,2650 AUDUBON ROAD,,AUDUBON,PA,19403,SOLID WASTE SERVICES,8886272216,73280.0,,,,,N,,,,,,N,,,,,,,2,454743.0,4
2010003062,99.0,8,1234 MARKET S 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009038625,3.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19107,SEPTA,2155807433,37920.0,,,,,N,,,,,,N,,,,,,,1,,11
2009039234,99.0,8,1019 E 9TH ST,,CHESTER,PA,19013,DELAWARE COUNTY TRANSPORTATION,6104471700,,,,,,N,,,,,,N,,,,,,,2,,11
2009054506,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009056666,5.0,6,6642 BLUEBERRY LANE,,PIPERSVILLE,PA,18947,T. BERRY AUTO TRANSPORT,2157667889,80000.0,,,,,N,,,,,,N,,,,,,,1,299722.0,8
2009063961,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,2,,10
2009067296,99.0,9,100 S. BROAD ST 3RD FL,,PHILADELPHIA,PA,99999,DEPT PHILADELPHIA WATER,9999999999,29000.0,,,,,N,,,,,,N,,,,,,,1,,99
2009067602,2.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155803100,,,,,,N,,,,,,N,,,,,,,3,,11
2009085905,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,10
2009105907,99.0,9,1050 SWEDESFORD RD,,BERWYN,PA,19312,PECO ENERGY CO,9999999999,33000.0,,,,,N,,,,,,N,,,,,,,1,,99
2009106217,99.0,7,4501-25 N. 6TH ST,,PHILADELPHIA,PA,19107,PAYLOAD DISPOSAL,9999999999,,,,,,N,,,,,,N,,,,,,,2,,5
2009124702,99.0,9,100 S. BROAD ST 3RD FL,,PHILADELPHIA,PA,19110,CITY OF PHILADELPHIA,9999999999,35000.0,,,,,N,,,,,,U,,,,,,,1,,99
2010011423,99.0,9,4000 CLINE AVE,,CHICAGO,IL,46312,PENSKE TRUCK LEASING,9999999999,,,,,,N,,,,,,U,,,,,,,3,,99
2009036815,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009056667,99.0,7,100 SOUTH BROAD ST,,PHILADELPHIA,PA,19110,CITY OF PHILADELPHIA,9999999999,,,,,,N,,,,,,N,,,,,,,1,,5
2009061117,2.0,3,804 ROBERTS AVE,,DREXEL HILL,PA,19026,ASHLEN'S AUTOMOTIVE,2677186676,25950.0,,,,,N,,,,,,N,,,,,,,1,9.0,3
2009066322,5.0,1,2800 FRAZER RD,,NEWARK,DE,19702,MAWSON & MAWSON INC.,3024375820,80000.0,,,,,N,,,,,000000076,N,,A-00070697,,,,,2,113529.0,6
2009066931,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,2155807800,,,,,,N,,,,,,N,,,,,,,1,,11
2009035243,5.0,2,22 COUNTRY VILLAGE WAY,,MEDIA,PA,19063,PHOENIX ENERGY GROUP DBA CARDINA,2156689382,80000.0,3.0,,,,Y,1.0,,,,,N,,,,,,,2,957345.0,8
2009035243,5.0,0,2356 INDIAN AVE,,GEORGE,IA,51237,LUCILLE STEENHOVEN,7127252246,80000.0,,,,,N,,,,,,N,,,,,,,3,999242.0,8
2009037476,99.0,9,100 S. BROAD ST,,PHILADELPHIA,PA,19110,CITY OF PHILADELPHIA,9999999999,73280.0,,,,,N,,,,,,N,,,,,,,1,,99
2009044119,5.0,1,1799 N STATE,PO BOX 130,FREEBURG,IL,62243,H C PARRISH TRUCK SERVICE INC,8004863885,80000.0,,,,,N,,,,,,N,,,,,,,2,111884.0,8
2009049634,99.0,8,440 N BROAD ST,,PHILADELPHIA,PA,19130,PHILA SCHOOL DIST,9999999999,,,,,,N,,,,,,N,,,,,,,1,,11
2009072358,99.0,9,100 S. BROAD ST 3RD FL,,PHILADELPHIA,PA,19110,CITY OF PHILADELPHIA,9999999999,19500.0,,,,,N,,,,,,N,,,,,,,3,,5
2009074592,99.0,9,53 BLACKWOOD BARNSBORO,PO BOX 454,SEWELL,NJ,08080,LAWRENSON INC,9999999999,999999.0,,,,,,,,,,,U,,,,,,,1,,5
