CRN,AVOID_MAN_CD,BODY_TYPE,COMM_VEH,DAMAGE_IND,DVR_PRES_IND,EMERG_VEH_USE_CD,GRADE,HAZMAT_IND,IMPACT_POINT,INS_IND,MAKE_CD,MODEL_YR,NON_MOTORIST,OWNER_DRIVER,PEOPLE_IN_UNIT,PRIN_IMP_PT,RDWY_ALIGNMENT,SPECIAL_USAGE,TOW_IND,TRAVEL_DIRECTION,TRAVEL_SPD,TRL_VEH_CNT,UNDER_RIDE_IND,UNIT_NUM,UNIT_TYPE,VEH_COLOR_CD,VEH_MOVEMENT,VEH_POSITION,VEH_REG_STATE,VEH_ROLE,VEH_TYPE,PARTIAL_VIN,VINA_BODY_TYPE_CD
2009044360,,1.0,N,2.0,1.0,,1.0,N,3.0,U,FORD,2004.0,0,1.0,1,,1.0,0.0,N,W,999.0,,,2,1,5.0,1.0,1.0,PA,2.0,1.0,1FAFP44634F,PCV
2009120816,,51.0,Y,0.0,1.0,,1.0,N,3.0,Y,FRHT,2009.0,0,2.0,1,,1.0,0.0,N,N,999.0,,,1,1,3.0,15.0,6.0,PA,1.0,5.0,1FVACXBS09D,TCC
2009054551,,15.0,N,2.0,2.0,,1.0,N,11.0,U,TOYT,2008.0,1,,0,,1.0,0.0,N,E,0.0,0.0,,3,2,5.0,6.0,98.0,PA,2.0,1.0,JTEES41A982,PUT
2009071701,,15.0,N,2.0,1.0,,1.0,N,6.0,Y,CHEV,2007.0,0,1.0,5,,1.0,0.0,N,E,35.0,0.0,,2,1,9.0,1.0,3.0,PA,2.0,6.0,1GNFK16397J,PUT
2009125103,,4.0,N,3.0,1.0,,1.0,N,11.0,Y,MITS,2004.0,0,1.0,1,,1.0,0.0,Y,S,999.0,0.0,,2,1,5.0,1.0,0.0,PA,2.0,1.0,4A3AB76S74E,P4D
2009120635,,4.0,N,1.0,1.0,,1.0,N,11.0,Y,FORD,2001.0,0,98.0,1,,1.0,13.0,N,E,15.0,0.0,,1,1,2.0,1.0,1.0,PA,1.0,1.0,2FAFP71W81X,P4D
2009054549,,4.0,N,3.0,1.0,,1.0,N,12.0,Y,MRCU,1997.0,0,1.0,3,,1.0,0.0,Y,W,999.0,0.0,,1,1,1.0,1.0,0.0,PA,1.0,1.0,2MELM75W3VX,P4D
2009066249,,9.0,N,9.0,4.0,,9.0,N,12.0,Y,MRCU,2002.0,0,2.0,2,,1.0,0.0,N,U,999.0,,,2,5,99.0,1.0,1.0,DE,1.0,1.0,99999999999,
2009080433,,4.0,N,9.0,3.0,,1.0,N,2.0,U,FORD,2002.0,0,1.0,1,,1.0,99.0,Y,S,999.0,0.0,,1,5,3.0,10.0,99.0,PA,1.0,1.0,2FAFP71W72X,P4D
2009065787,,4.0,N,3.0,1.0,,1.0,N,12.0,Y,TOYT,2001.0,0,1.0,1,,1.0,0.0,Y,N,28.0,0.0,,2,1,7.0,1.0,3.0,PA,2.0,1.0,4T1BG22K51U,P4D
2009063882,,2.0,N,2.0,1.0,,1.0,N,13.0,Y,ACUR,1997.0,0,2.0,2,,1.0,0.0,N,N,999.0,,,2,1,5.0,10.0,2.0,PA,2.0,1.0,19UYA1247VL,PCP
