CRN,AGE,AIRBAG_PADS,AIRBAG1,AIRBAG2,AIRBAG3,AIRBAG4,CLOTHING_TYPE,DVR_LIC_STATE,DVR_PED_CONDITION,EJECT_PATH_CD,EJECTION_IND,EXTRIC_IND,INJ_SEVERITY,NON_MOTORIST,PED_LOCATION,PED_SIGNAL,PERSON_NUM,PERSON_TYPE,RESTRAINT_HELMET,SEAT_POSITION,SEX,TRANSPORTED,TRANSPORTED_BY,UNIT_NUM,VULNERABLE_ROAD_USER
2008047127,41,0,,,,, ,NJ,0.0,0,0,0,4,0,  , ,1,1,1,1,M, ,,2,0
2008047127,39,0,,,,, ,NJ,0.0,0,0,0,3,0,  , ,2,2,1,3,F, ,,2,0
2008047127,26,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,1,1,M, ,,1,0
2008047127,41,0,,,,, ,NJ,0.0,0,0,0,4,0,  , ,1,1,1,1,M, ,,2,0
2008047127,39,0,,,,, ,NJ,0.0,0,0,0,3,0,  , ,2,2,1,3,F, ,,2,0
2008047127,26,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,1,1,M, ,,1,0
2008050738,46,8,02,,,, ,PA,0.0,9,9,0,8,0,  , ,1,1,99,1,F, ,,1,0
2008050738,29,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,2,1,99,1,M, ,,2,0
2008050738,46,8,02,,,, ,PA,0.0,9,9,0,8,0,  , ,1,1,99,1,F, ,,1,0
2008050738,29,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,2,1,99,1,M, ,,2,0
2008053779,32,99,,,,, ,MO,0.0,0,1,1,4,0,  , ,1,1,99,1,F, ,,2,0
2008053779,32,8,02,,,, ,PA,0.0,0,1,1,4,0,  , ,1,1,99,1,M, ,,1,0
2008053779,28,8,02,,,, ,PA,0.0,0,1,1,4,0,  , ,2,2,99,3,M, ,,1,0
2008053779,32,99,,,,, ,MO,0.0,0,1,1,4,0,  , ,1,1,99,1,F, ,,2,0
2008053779,32,8,02,,,, ,PA,0.0,0,1,1,4,0,  , ,1,1,99,1,M, ,,1,0
2008053779,28,8,02,,,, ,PA,0.0,0,1,1,4,0,  , ,2,2,99,3,M, ,,1,0
2008058179,40,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,F, ,,2,0
2008058179,41,99,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,99,1,F, ,,1,0
2008058179,52,99,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,99,1,F, ,,3,0
