CRN,AVOID_MAN_CD,BODY_TYPE,COMM_VEH,DAMAGE_IND,DVR_PRES_IND,EMERG_VEH_USE_CD,GRADE,HAZMAT_IND,IMPACT_POINT,INS_IND,MAKE_CD,MODEL_YR,NON_MOTORIST,OWNER_DRIVER,PEOPLE_IN_UNIT,PRIN_IMP_PT,RDWY_ALIGNMENT,SPECIAL_USAGE,TOW_IND,TRAVEL_DIRECTION,TRAVEL_SPD,TRL_VEH_CNT,UNDER_RIDE_IND,UNIT_NUM,UNIT_TYPE,VEH_COLOR_CD,VEH_MOVEMENT,VEH_POSITION,VEH_REG_STATE,VEH_ROLE,VEH_TYPE,PARTIAL_VIN,VINA_BODY_TYPE_CD
2008098200,,4.0,N,0.0,1.0,,1.0,N,1.0,Y,NISS,1999.0,0,1.0,1,,1.0,0.0,N,S,999.0,,,2,1,3.0,1.0,6.0,PA,1.0,1.0,1N4DL01D9XC,P4D
2008079255,,,N,,,,,N,,,,,1,,1,,,,,,,,,2,31,,,,,2.0,,,
2008070808,,15.0,N,2.0,1.0,,3.0,N,6.0,Y,FORD,2008.0,0,2.0,1,,1.0,0.0,N,N,999.0,,,2,1,5.0,1.0,3.0,PA,2.0,1.0,1FMDK02W58G,PUT
2008028826,,1.0,N,1.0,1.0,,1.0,N,10.0,Y,VOLK,1999.0,0,1.0,1,,1.0,0.0,N,S,15.0,0.0,,2,1,5.0,1.0,1.0,PA,2.0,1.0,3VWCB61E1XM,PCV
2008057766,,2.0,N,3.0,1.0,,1.0,N,99.0,Y,CHEV,1995.0,0,2.0,1,,1.0,99.0,Y,E,999.0,0.0,,2,1,3.0,1.0,13.0,PA,2.0,1.0,2G1WW12M6S9,PCP
2008060517,,15.0,N,1.0,1.0,,1.0,N,6.0,Y,CHEV,1997.0,0,1.0,3,,1.0,0.0,N,W,999.0,0.0,,2,1,4.0,1.0,1.0,PA,2.0,6.0,1GNDT13W7V2,PUT
2008079528,,,N,,,,,N,,,,,1,,1,,,,,,,,,2,32,,,,,2.0,,,
2008074472,,2.0,N,1.0,1.0,,1.0,N,6.0,Y,CHEV,1985.0,0,1.0,1,,1.0,0.0,Y,S,0.0,0.0,,2,1,7.0,3.0,3.0,PA,3.0,1.0,1G1GZ37G3FR,PCP
2008027013,,9.0,N,2.0,2.0,,1.0,N,11.0,Y,TOYT,2007.0,1,,0,,2.0,0.0,N,E,0.0,,,2,2,5.0,6.0,1.0,NJ,2.0,1.0,JTK05187270,P
2008086823,,2.0,N,1.0,1.0,,1.0,N,0.0,Y,TOYT,2004.0,0,1.0,2,,1.0,0.0,N,W,55.0,0.0,,2,1,1.0,1.0,6.0,PA,0.0,1.0,4T1CE38P34U,PCP
