CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2008127376,5.0,9.0,UNKNOWN,,UNKNOWN,ZZ,000000000,UNKNOWN,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2008041254,99.0,9.0,STOWE LEASING CO,,UNKNOWN,PA,99999,INTERNAIL,9999999999.0,,,,,,N,,,,,,,,,,,,,5,99999999,99.0
2008046768,2.0,1.0,328 WEST RIDLEY AVENUE,,RIDLEY PARK,PA,19078,SUNSET FARMS,6104948978.0,25500.0,,,,,N,,,,,,N,,,,,,,2,00819105,3.0
2008049875,99.0,8.0,UNKNOWN,,PHILADELPHIA,PA,19137,DURHAM SCHOOL SVCS,9999999999.0,,,,,,N,,,,,,,,,,,,,5,,11.0
2008051403,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008056273,5.0,1.0,350 BENIGNO BLVD,,BELLMAWR,NJ,08031,JERSEY CARTAGE LLC,8775725500.0,80000.0,,,,,N,,,,,,N,,,,,,,1,01077521,8.0
2008091183,3.0,1.0,UNKNOWN,,CAMDEN,NJ,08000,CAMDEN STEEL AND IRON CO.,9999999999.0,80000.0,,,,,N,,,,,,N,,,,,,,2,01104355,8.0
2008100549,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008103102,2.0,8.0,1234 MARKET ST,14TH FLR,PHILADELPHIA,PA,19107,SEPTA,2155807800.0,58000.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2009001006,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,3,,11.0
2009015080,2.0,1.0,2100 BYBERRY ROAD,,HUNTINGDON VALLEY,PA,19006,CARR & DUFF,9999999999.0,30000.0,,,,,,,,,,,U,,,,,,,2,,3.0
2009025110,99.0,9.0,3018 HARVESTER DRIVE,,NONROE,LA,21203,SCOTT POWERLINE & UTI EOP LLC,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2008038519,2.0,1.0,701 ASHLAND AVE,,FOLCROFT,PA,19032,BROKERS WORLDWIDE INC.,6104613661.0,45000.0,,,,,N,,,,,,N,,,,,,,1,00338957,3.0
2008053643,3.0,1.0,1713 NORTH MAIN ROAD,,VINELAND,NJ,08362,SAMUEL CORALUZZO,8566081000.0,80000.0,,,,,N,,,,,,N,,,,,,,1,00156123,6.0
2008053643,5.0,2.0,1713 NORTH MAIN ROAD,,VINELAND,NJ,08362,SAMUEL CORALUZZO,8566081000.0,80000.0,2.0,,,,Y,9.0,,,,,N,,,,,,,2,00156123,6.0
2008069700,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008092039,5.0,3.0,2749 HAWKINS POINT ROAD,,BALTIMORE,MD,21226,JOHNSONS TRANSFER INC.,8003331057.0,80000.0,,,,,N,,,,,,N,,,,,,,1,00113456,8.0
2008100503,99.0,8.0,2 PENSDALE LN,,WILLINGBORO,NJ,08046,WILCO TOURS,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008122711,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2009013708,99.0,9.0,455 16TH ST,,CARLSTADT,NJ,07072,JIFFY TRUCK CO.,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,99.0
2008091364,2.0,8.0,540 UPLAND AVE,,READING,PA,19611,AMERICAN EQUIPMENT LEASING,9999999999.0,48600.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2008091708,99.0,1.0,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,1,99999999,8.0
