CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2008027027,2008,,0,,,,2
2008054216,2008,,0,,,9.0,2
2008060617,2008,,0,,O983495,6.0,1
2008108631,2008,,0,GA,TL79026,6.0,2
2008119029,2008,,0,OK,ZO5D6,7.0,2
2008041254,2008,,0,,,,4
2008056265,2008,,0,ME,1170372,6.0,3
2008059895,2008,,0,,I,,1
2008070806,2008,,0,,,1.0,1
2008098473,2008,,0,,,9.0,1
2008108491,2008,,0,,TEXS9H,6.0,1
2009005738,2008,,0,PA,TX42509,1.0,2
2008029086,2008,,0,,,,1
2008062158,2008,,0,,,9.0,3
2008076958,2008,,0,ME,1173860,6.0,2
2008088925,2008,,0,,BT3BY37,6.0,2
2008120903,2008,,0,M,W,,2
2008050771,2008,,0,IN,T233597,6.0,2
2008075764,2008,,0,TN,U075057,7.0,1
2008132796,2008,,0,IA,TD3255,7.0,1
2009000183,2008,,0,,,7.0,2
2009013445,2008,,0,ZZ,GXKIM4,1.0,1
2008029176,2008,,0,,,,2
2008057856,2008,,0,,,6.0,1
2008058968,2008,,0,ME,0B50963,6.0,1
2008063394,2008,,0,ME,0963885,7.0,1
2008078912,2008,,0,,,9.0,1
2008098233,2008,,0,,,9.0,1
2008123015,2008,,0,PA,PT06737,7.0,2
2008127399,2008,,0,PA,XM92323,7.0,3
2009030780,2008,,0,,,6.0,19
2008046773,2008,,0,VA,89289Z,7.0,1
2008054076,2008,,0,,,6.0,1
2008082204,2008,,0,,XB758690,1.0,2
2008085098,2008,,0,TN,T200456,7.0,2
2008089213,2008,,0,,,7.0,2
2008091708,2008,,0,ZZ,UNKNOWN,7.0,1
2008116118,2008,,0,PA,XCZ1726,6.0,1
2008134007,2008,,0,,UNK,,1
2008040448,2008,,0,,,,1
2008040478,2008,,0,PA,XSHB9I,7.0,1
2009030766,2008,,0,,,9.0,2
2008094092,2008,,0,FL,C5138Z,6.0,1
2008109496,2008,,0,PA,XDA2423,7.0,3
2008112136,2008,,0,WI,1X554,7.0,1
2012031503,2008,,0,ZZ,999999999999,7.0,3
2008044703,2008,,0,CA,0047,7.0,1
2008047369,2008,,0,OR,7553I,7.0,2
2008069464,2008,,0,ZZ,UNKNOWN,7.0,2
2008107371,2008,,0,,TF4970,3.0,2
2008045540,2008,,0,,,,1
2008047846,2008,,0,,8XZ87,6.0,2
2008062189,2008,,0,,,9.0,3
2008121118,2008,,0,,1,,1
2009012660,2008,,0,,,9.0,1
2008053990,2008,,0,,,9.0,1
2008057650,2008,,0,,XPIY0G,3.0,2
2008058060,2008,,0,,,2.0,1
2009005459,2008,,0,ME,09TRL57430,7.0,2
2008045469,2008,,0,,,7.0,1
2008050569,2008,,0,,,7.0,1
2008056266,2008,,0,NE,157326,6.0,2
2008062189,2008,,0,,,9.0,1
2009018771,2008,,0,,,9.0,1
2008042109,2008,,0,,,,2
