CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2022087189,5.0,1,1002 CO RD 21 LT #8,,PRATTVILLE,AL,36067,EW EXPRESS SPECIALIZED CARRIERS,4043167570.0,050000,,,,,N,,,,,,,2.0,,0.0,,,,1,01901294,8
2022087189,5.0,3,3215 ORGAN CHURCH RD,,ROCKWELL,NC,28138,TRANSTEEL EXPRESS CORP,9084222496.0,040000,,,,,N,,,,,,,2.0,,0.0,,,,2,02540069,8
2022110784,2.0,1,2740 CHARLESTOWN RD,,LANCASTER,PA,17603,SERENA A KIRCHNER INC,7178721400.0,033000,,,,,N,,,,,,,,,0.0,,,,1,02295138,3
2022118964,5.0,11,9200 E 146TH ST,,NOBLESVILLE,IN,46060,JB HUNT TRANSPORTATION,8888874078.0,080000,,,,,N,,,,,,,2.0,,0.0,,,,1,00080806,8
2022007553,5.0,6,58 JEWEL LN,,LEVITTOWN,PA,19055,MEADE ENTERPRISES INC,2157685059.0,080000,,,,,N,,,,,,,,,0.0,,,,2,02557342,8
2022008703,3.0,4,10314 SOMERSET PIKE,,SOMERSET,PA,15501,BARRON TRUCKING,8144433795.0,073280,,,,,N,,,,,,,99.0,,0.0,,,,1,,4
2022110991,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,0.0,,,,2,,13
2022004462,2.0,8,15110 NORTH DALLAS PKWY,,DALLAS,TX,75248,GREYHOUND BUS CO,8002312222.0,035100,,,,,N,,,,,,,,,0.0,,,,2,00152465,13
2022056490,2.0,98,143 GAMEWELL ST,,HACKENSACK,NJ,07601,BENITEZ TRUCK LLC,6154971871.0,025995,,,,,N,,,,,,,,,0.0,,,,2,03229403,9
2022019794,5.0,1,6848 MOUNT HERMAN RD,,MORRISVILLE,NC,27560,"LINES, ESTES EXPRESS",8663783748.0,080000,,,,,N,,,,,,,,,0.0,,,,2,00121018,8
2022012129,5.0,1,7480 RIVER GLEN DRIVE,,RIVERSIDE,CA,92509,UPPAL BROTHERS TRUCKING,9517278330.0,080000,,,,,N,,,,,,,,,0.0,,,,1,03262275,8
2022123728,99.0,7,2895 GROUSE LN STE 100,,RIEGELSVILLE,PA,18077,DELGUERICOS WRECKING & SALVAGE,9999999999.0,066000,,,,,N,,,,,,,,,0.0,,,,2,,5
2022017267,5.0,1,355 DAVIDSON MILL RD,,JAMESBURG,NJ,08831,FOOD HAUL E RS INC,9088231027.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,00212340,8
2022101562,3.0,0,1200 STANLEY BLVD,,SHELBYVILLE,TN,37160,TITAN TRANSFER INC,8663294521.0,080000,,,,,N,,,,,,,,,0.0,,,,1,00845505,8
2022026422,2.0,2,"P.O. BOX 909 ROYERSFORD PA, 19",,LIMERICK,PA,19468,VENEZIA INC.,8005235572.0,999999,3.0,,,,Y,1.0,,,,,,,105332,0.0,,,,1,01079977,3
2022090375,8.0,1,79 ELMWOOD AVE,,LANDISVILLE,PA,17356,THOMAS TRADING INC,7178927350.0,025999,,,,,N,,,,,,,,,0.0,,,,1,01525377,9
2022001603,4.0,4,656 ORCHARD AVE,,BELLEVUE,PA,15202,PYRAMID TRUCKING LLC,4125892091.0,027000,,,,,N,,,,,,,,,0.0,,,,1,03237596,4
2022068790,5.0,1,200 OWEN PARKWAY CIR,,CARTER LAKE,IA,51510,CRESCO CAPITAL INC,9292467001.0,080000,,,,,N,,,,,,,99.0,,0.0,,,,1,02552481,8
2022089623,3.0,4,1470 LIBERTY VALLEY RD,,ICKESBURG,PA,17037,L & M DEATRICK & SONS,7174383578.0,073280,,,,,N,,,,,,,1.0,A-00115433,0.0,,,,1,02130523,4
2022122903,5.0,1,222 METRO DR,,TERRELL,TX,75160,JS HELWIG,2144433100.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,00185183,8
2022018105,5.0,99,2522 STATE RD,,BENSALEM,PA,19020,BRITE LOGISTICS,3128466858.0,080000,,,,,N,,,,,,,99.0,,0.0,,,,1,01921535,8
2022012358,3.0,99,220 CLASSYWOOD DRIVE,,ROGERSVILLE,MO,65742,GREAT WEST TRANSPORT,4174591506.0,080000,,,,,N,,,,,,,,,0.0,,,,2,02494527,6
2022017983,2.0,3,2710 MT JOY RD,,MANHEIM,PA,17545,DEER COUNTRY FARM & LAWN,7176532340.0,019500,,,,,N,,,,,,,2.0,,0.0,,,,2,00836632,3
2022087640,3.0,4,251 CEMETERY RD,,SALTSBURG,PA,15681,TAYLOR LEASING,7248409474.0,,,,,,N,,,,,,,99.0,0000,0.0,,,,1,00000000,5
2022100854,3.0,1,1100 THOMPSON PARK DR.,,CRANBERRY TWP,PA,16066,ROLLING FRITO LAY SALES LP,7247795000.0,000000,,,,,N,,,,,,,99.0,,0.0,,,,2,00012345,0
2022006750,5.0,1,3560 W SAN JOSE AVE #101,,FRESNO,CA,93711,LOVE HAULER INC,5598900455.0,080000,,,,,N,,,,,,,,,0.0,,,,1,02521390,8
2022026283,99.0,99,UNK,,UNK,PA,99999,ED BOWES EXXON,9999999999.0,999999,,,,,,,,,,,,,,0.0,,,,2,,99
2022039901,3.0,1,6500 W. INDUSTRIAL HWY,,GARY,ID,46404,SWIFT TRANSPORTATION,8008002200.0,033000,,,,,N,,,,,,,,,0.0,,,,1,00054283,8
2022061888,5.0,1,779 M COURT ST,,MEDINA,OH,44256,ATLAS,2029988884.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,03241269,8
2022059820,3.0,3,2675 MORGANTOWN ROAD,,READING,PA,19607,PENSKE TRUCK LEASING CO,6107756000.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,01235798,4
2022022436,2.0,7,813 E 18TH ST,,ERIE,PA,16503,PRO WASTE SERVICES,8144555119.0,,,,,,N,,,,,,,99.0,,0.0,,,,2,01320772,98
2022071076,3.0,1,341 NORTH FRONT STREET,,READING,PA,19601,"ON-TIME EXPRESS TRUCKING, INC.",6105077877.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,02171635,6
2022047396,4.0,99,197 SWAMP CREEK ROAD,,GILBERTVILLE,PA,19525,WASTE MANAGEMENT OF PENNSYLVANIA,8008695566.0,073000,,,,,,,,,,,,,,0.0,,,,1,00344050,99
2022064859,2.0,3,509 E LANCASTER ST,,RED LION,PA,17356,LIND J WALTER,7178185392.0,,,,,,N,,,,,,,99.0,,0.0,,,,4,,3
2022004726,99.0,99,UNK,,UNK,PA,99999,UNK,9999999999.0,025950,,,,,,,,,,,,,,0.0,,,,1,,99
2023021499,99.0,99,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,,,,,,N,,,,,,,99.0,,0.0,,,,2,99999999,8
2022056270,4.0,5,248 E. COUNTY LINE RD,,HATBORO,PA,19040,DELAWARE VALLEY CONCRETE,2156758900.0,073280,,,,,N,,,,,,,2.0,,0.0,,,,2,00336810,4
2022032416,99.0,4,3293 DALE RD,,BENSALEM,PA,19020,JOSEPH RITCHIE,2157834313.0,,,,,,N,,,,,,,2.0,,0.0,,,,1,01401233,9
2022032416,99.0,2,4635 DIVISION HIGHWAY,,EAST EARL,PA,17519,HERMAN R EWELL INC.,8002330161.0,,,,,,N,,,,,,,2.0,,0.0,,,,2,00010571,8
2022057099,5.0,99,UNK,,UNK,ZZ,99999,UNK,9999999999.0,,,,,,N,,,,,,,,,0.0,,,,1,99999999,6
2022032729,5.0,1,189 WESTCREEK DRIVE,,VAUGHAN,ON,L4L9N6,ALL THE WAY,9058566179.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,00850761,8
2022081904,5.0,3,7603 LAS BRISAS DR,,HUSTON,TX,77083,AAA TRANSPORTATION SERVICES,8328349316.0,,,,,,N,,,,,,,99.0,,0.0,,,,1,03304029,8
2022017273,3.0,98,900 LONG RIDGE RD,BUILDING 2,STAMFORD,CT,06902,NESTLE WATERS NORTH AMERICA,7326900493.0,033000,,,,,,,,,,,,,,0.0,,,,2,00297080,4
2022017273,2.0,1,324 STRAWBERRY CIRCLE,,LANGHORNE,PA,19047,FEDEX,2158404460.0,011500,,,,,,,,,,,,2.0,,0.0,,,,1,00265752,2
2022015443,3.0,3,1435 WEBSTER ST,,DAYTON,OH,45424,AMEX TRANSPORTATION,9365289614.0,,,,,,N,,,,,,N,,,,,,,1,02488612,8
2022015443,3.0,1,7415 TORBRAM RD,,MISSISSAUGE,ON,L4T0A1,CANAMEX-CARBRA TRANSPORTATION SE,9054585363.0,,,,,,N,,,,,,N,,,,,,,3,00661355,8
2022015443,3.0,1,4080 JENKINS RD,,CHATTANOOGA,TN,37421,US XPRESS,8448797737.0,,,,,,N,,,,,,N,,,,,,,2,00303024,8
2022016709,5.0,3,10 WILLOW RD #123,,MAPLE SHADE,NJ,08052,GRAND USA TRANSPORT,8563595205.0,080000,,,,,N,,,,,,N,,,,,,,1,50688302,8
2022021300,2.0,8,127 E. 14TH STREET,,ERIE,PA,16503,ERIE METROPOLITAN TRANSIT,8144544012.0,,,,,,,,,,,,,,,0.0,,,,2,,13
2022123169,18.0,0,7135 CENTENNIAL PI,,NASHVILLE,TN,37209,WESTERN EXPRESS,7085515172.0,080000,,,,,N,,,,,,,1.0,0000000012,0.0,,,,1,00511412,0
2022108174,5.0,6,1041 FOSTER ST # A88,,PHILADELPHIA,PA,19116,US FORWARD INC,7327040000.0,080000,,,,,N,,,,,,,,,0.0,,,,1,28950431,8
2022069106,99.0,99,2380 HILLSIDE AVE,,WILLIAMSPORT,PA,17701,ROBERT LOSELL,9999999999.0,999999,,,,,,,,,,,,99.0,,0.0,,,,1,,99
2022098974,5.0,6,413 EUCLID ROAD,,BUTLER,PA,16001,JERRY WILLIAMS TRANSPORT,7244960302.0,004800,,,,,N,,,,,,,,A-8921722,0.0,,,,1,03226054,6
2022039373,2.0,3,PO BOX 488,,MICKELTON,NJ,08056,ATLAS FLASHER AND SUPPLY,8564233333.0,026000,,,,,N,,,,,,,1.0,,0.0,,,,2,01041480,3
2022008400,5.0,1,14587 VALLEY BLVD,,FONTANA,CA,92335,CARGO SOLUTION MANAGEMENT LLC,2093404042.0,060000,,,,,N,,,,,,,,,0.0,,,,1,02967712,8
2022023478,2.0,98,2800 POTTSVILLE PK,,READING,PA,19640,METROLPOLITAN EDISON COMPANY,8005457741.0,033000,,,,,N,,,,,,,99.0,52,0.0,,,,3,00410579,3
2022023478,2.0,98,2800 POTTSVILLE PK,,READING,PA,19640,METROPOLITAN EDISON COMPANY,8005457741.0,033000,,,,,N,,,,,,,99.0,52,0.0,,,,2,00410579,3
2022035684,2.0,1,180 GREAT VALLEY BLVD,,WILKES-BARRE,PA,18706,COREMARK,5708190309.0,080000,,,,,N,,,,,,,2.0,,0.0,,,,1,01532737,3
2022097955,3.0,4,5000 SPRINGSIDE CT,,ALLENTOWN,PA,18104,SEMMEL EXCAVATING LLC,4845151569.0,073280,,,,,N,,,,,,,,A-0099999,0.0,,,,2,02317222,4
2022120449,6.0,2,2305 RT 549,,MANSFIELD,PA,16933,CLARAVA TRUCKING,9733747740.0,,,,,,N,,,,,,,99.0,,0.0,,,,1,03266469,8
2022054695,2.0,98,751 HARLEYSVILLE PIKE,,TELFORD,PA,18969,KJ DOORS,2157235800.0,,,,,,N,,,,,,,,,0.0,,,,1,,2
2022021247,3.0,1,446 HARLEYSVILLE PIKE,,SOUDERTON,PA,18964,BERGEY GMC INC,2157994420.0,080000,,,,,N,,,,,,,,,0.0,,,,1,00066970,8
2022021247,6.0,9,90 MILLER ROAD,,WILLOW STREET,PA,17584,DNA LEASING,7176253770.0,044000,,,,,N,,,,,,,,,0.0,,,,2,00996011,2
2022021247,6.0,1,350 COUNTY ROAD,,JERSEY CITY,NJ,07307,GOYA FOOD INC,2013484900.0,080000,,,,,N,,,,,,,,,0.0,,,,3,00023451,8
2022049500,3.0,0,1279 PATERSON PLANK RD,,SERAUCUS,NJ,07904,VELOZ LOGISTICS LLC,4843400863.0,026000,,,,,N,,,,,,,2.0,,0.0,,,,1,02788047,4
2022111555,5.0,11,4057 STATE ROUTE 225,,DIAMON,OH,44412,ROSE TRANSPORTATION,7817676160.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,02365308,8
2022114047,2.0,3,924 BEVERLY PIKE,,ELKINS,WV,26241,WILLOW BEND EXPRESS,3046377360.0,,,,,,N,,,,,,,99.0,,0.0,,,,1,,3
2022035433,5.0,1,311 PORTER AVE,,SCOTTDALE,PA,15425,SNYDER TRUCKING,7248877550.0,080000,,,,,N,,,,,,,2.0,8920058,0.0,,,,1,00291121,0
2022107956,5.0,0,168  BASS PRO DR,,KODAK,TN,37764,CLAYS SERVICE LLC,2342009234.0,,,,,,N,,,,,,,2.0,,0.0,,,,2,03434898,8
2022094748,3.0,3,1527 S COLEBROOK RD,,MANHEIM,PA,17545-8631,HUMMER TURFGRASS SYSTEMS,7178980420.0,019500,,,,,N,,,,,,,,,0.0,,,,2,00044877,6
2022122062,10.0,99,2675 MORGANTOWN RD,,READING,PA,19607,PENSKE TRUCK LEASING,6107756000.0,,,,,,N,,,,,,,99.0,,0.0,,,,2,,99
