CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2022022870,N,N,N,N,1.0,U,Y,Y,Y,498.0,,,,,,,,N,N,,,,,1
2022099711,N,U,N,U,0.0,U,U,Y,Y,99999.0,U,U,0.0,N,N,Y,U,Y,N,,,,,1
2022043817,Y,N,U,U,0.0,N,N,U,U,150.0,,,,,,,,N,N,,,,,2
2022087065,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,2
2022072614,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2022057147,N,U,U,U,9.0,U,U,U,U,600.0,,,,,,,,N,N,,,,,1
2022060028,N,U,U,U,0.0,N,N,Y,U,150.0,,,,,,,,N,N,,,,,2
2022025064,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2022066405,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2022071367,Y,N,N,Y,1.0,Y,Y,Y,N,500.0,,,,,,,,N,N,,,,,1
2022095849,N,Y,U,Y,1.0,Y,Y,Y,Y,250.0,,,,,,,,N,N,,,,,1
2022082568,Y,U,Y,N,0.0,N,N,Y,Y,200.0,,,,,,,,N,N,,,,,1
2022023749,Y,U,Y,Y,1.0,U,Y,Y,Y,99999.0,,,,,,,,N,N,,,,,1
2022065882,Y,N,U,Y,3.0,Y,Y,Y,N,1832.0,,,,,,,,N,N,,,,,1
2022044471,N,Y,N,Y,1.0,Y,Y,Y,N,998.0,,,,,,,,N,N,,,,,2
2022098127,Y,Y,Y,Y,1.0,Y,Y,Y,Y,1170.0,,,,,,,,N,N,,,,,1
2022031467,Y,Y,N,N,0.0,N,N,Y,Y,1200.0,,,,,,,,N,N,,,,,1
2022058657,Y,Y,U,Y,3.0,U,Y,Y,N,1450.0,,,,,,,,N,N,,,,,1
2022083419,N,Y,U,Y,1.0,Y,Y,Y,Y,1200.0,,,,,,,,N,N,,,,,1
2022077467,Y,U,U,Y,1.0,Y,Y,Y,N,700.0,,,,,,,,N,N,,,,,1
2022078449,N,N,N,N,0.0,N,N,N,N,450.0,,,,,,,,N,N,,,,,1
2022066232,N,U,U,U,3.0,U,Y,U,U,250.0,,,,,,,,N,N,,,,,1
2022100374,Y,Y,U,Y,1.0,Y,Y,Y,Y,650.0,,,,,,,,N,N,,,,,2
2022111086,N,U,U,U,0.0,N,N,Y,Y,1000.0,,,,,,,,N,N,,,,,1
2022100576,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2022040510,N,Y,U,Y,1.0,Y,Y,Y,Y,1449.0,,,,,,,,N,N,,,,,2
