CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2022094840,2022,9999999999,1,ZZ,UNKNOWN,7.0,1
2022063970,2022,1JJV532D4M,1,IN,P855556,7.0,2
2022054030,2022,4FGB22020C,1,PA,XLK3826,6.0,2
2022069672,2022,5V8VC5325P,1,ME,5037426,7.0,3
2022073242,2022,T01CCUKA65,1,IN,P370731,7.0,1
2022056585,2022,3H3V532C1L,1,TN,025989T,6.0,1
2022078196,2022,1GR1A0623L,1,IN,P941678,6.0,2
2022116265,2022,1JJV532D6H,1,NE,18391W,7.0,2
2022040152,2022,1P9BU4422H,1,PA,PT174L2,7.0,1
2022073242,2022,0000000000,1,MO,45A804,7.0,3
2022095039,2022,5JW1C1425M,1,PA,XMY6164,3.0,1
2022032485,2022,1P9DA7M27X,1,NJ,TJV89F,7.0,2
2022020411,2022,1GRDM9629H,1,PA,PT689C4,6.0,1
2022030249,2022,9999999999,1,ME,B553786,7.0,3
2022096646,2022,1UYVS2536F,1,OK,BE6011,7.0,2
2022064358,2022,1JJV532D9E,1,PA,PT7484W,7.0,1
2022037360,2022,1UYVS2530D,1,MI,E26043B,7.0,2
2022075627,2022,1KKVA53271,1,ME,271844F,6.0,2
2022082465,2022,541GC3437M,1,PA,PT447K2,3.0,2
2022122004,2022,5UJFS48217,1,OK,AN6959,6.0,2
2022030249,2022,9999999999,1,MO,32A846,7.0,1
2022040709,2022,5SPTD3538H,1,PA,PT643C1,6.0,2
2022073242,2022,1JJV532BXH,1,ME,261109E,7.0,4
2022091754,2022,5JW2U2528H,1,OH,TRW5876,3.0,2
2022069672,2022,5V8VA532XM,1,ME,3043282,7.0,4
2022073242,2022,0000000000,1,IN,P880416,7.0,2
2022084956,2022,1UYVS25358,1,ME,266460A,7.0,1
2022013401,2022,9999999999,1,ME,222625G,7.0,2
2022018088,2022,,0,PA,XNP3966,3.0,1
2022056944,2022,1GR1A8024M,1,OH,TRQ7228,7.0,1
2022108497,2022,13N1483077,1,ME,5037939,7.0,2
2022116369,2022,1JJV281W34,2,IL,T325652,6.0,2
2022005185,2022,9999999999,1,PA,XNC4308,7.0,1
2022055751,2022,4X4TWDC27M,1,RI,81390,5.0,3
2022097278,2022,9999999999,1,ME,23TLR7876G,7.0,2
2022011068,2022,1UYVS2536E,1,ME,23-52697,7.0,1
2022116422,2022,5MATA4228F,1,PA,PT445J0,6.0,2
2022029589,2022,1UYVS253XL,1,ME,4979C,7.0,1
2022076152,2022,13N14830X4,1,PA,PT341D4,6.0,1
2022013978,2022,,0,ZZ,UNK,6.0,1
2022064877,2022,1M2P337C84,1,MD,NONE,2.0,1
2022122631,2022,3H3V532C1L,1,ID,TN2715,7.0,1
2022096982,2022,1RND4BA2XY,1,PA,PT78639,7.0,1
2023004788,2022,1GRAA06233,1,IL,395305ST,7.0,2
2022013401,2022,9999999999,1,NY,2953D5,7.0,4
2022056944,2022,3GNAXUEV6N,2,ZZ,999999999999,1.0,3
2022013401,2022,9999999999,1,AL,7A00M61,7.0,1
2022033402,2022,9999999999,1,ID,CBW31,8.0,2
2022065690,2022,1GRAP0624D,1,IN,3229131,7.0,2
2022071476,2022,4P5LD2728M,1,PA,XKX7977,3.0,1
2022090628,2022,9999999999,1,ZZ,999999999999,6.0,1
2022116369,2022,1JJV281WX6,1,IN,P368180,6.0,2
2022009745,2022,9999999999,1,PA,PT661F3,7.0,1
2022113527,2022,1JJV532D1K,1,IL,673326ST,7.0,2
2022121765,2022,UNK,1,ZZ,UNK,9.0,1
2022090200,2022,1RNF53A21G,1,IL,727718ST,7.0,1
2022101397,2022,1GRAA0626D,1,OK,1299JN,7.0,2
2022063611,2022,2M59216195,1,IL,876027ST,7.0,1
2022021514,2022,9999999999,1,PA,XMD-2452,3.0,1
2022101162,2022,1RBA10514L,1,PA,PT774K6,8.0,2
2022069672,2022,1DW1A532XL,1,ID,TM9363,7.0,1
2022039391,2022,1JJV532D4G,1,ME,3213756,7.0,1
2022069491,2022,405117BAXK,1,PA,XNR0538,6.0,1
2022107957,2022,1JJV532D0F,1,OK,7484KS,7.0,1
2022041510,2022,,0,ME,245147B,7.0,2
2022077658,2022,1DW1A4829G,1,WI,693294,7.0,1
2022031157,2022,9999999999,1,ME,253475A,3.0,2
2022041510,2022,,0,ME,3129795,7.0,3
2022048578,2022,1WF200G28B,1,PA,XLY3964,3.0,2
2022049986,2022,9999999999,1,FL,5057313,7.0,2
2022107964,2022,3H3V532C5G,1,IN,P499567,7.0,1
2022011175,2022,9999999999,1,TN,046186T,7.0,1
2022042173,2022,5E0AA1446L,1,RI,36975,7.0,1
2022064581,2022,3H3V532K4N,1,ME,C180757,7.0,1
2022089124,2022,1GRAP0627H,1,ME,5079028,7.0,1
2022046841,2022,1F9C337293,1,VA,4996AG,7.0,2
2022059584,2022,LJRC5426XF,1,IN,P446156,7.0,3
2022022652,2022,,0,OK,2714JX,7.0,1
2022044410,2022,9999999999,1,ZZ,999999999999,6.0,1
2022057368,2022,405119BAXR,1,PA,XJL1475,3.0,2
2022100814,2022,1DW1A5329L,1,ID,TM9282,7.0,1
2022114199,2022,1GRAP0628E,1,IN,P276955,7.0,1
2022018873,2022,9999999999,1,MO,21L9DB,7.0,1
2023004500,2022,1GRAA062XK,1,IN,P766599,7.0,1
2022003389,2022,9999999999,1,ME,277191B,7.0,1
2022101224,2022,4YDT24021J,1,MD,2239034,5.0,1
2022008927,2022,9999999999,1,BC,67326J,7.0,1
2022091731,2022,5E0AA1646N,1,RI,2A792,7.0,1
2022057165,2022,1PMB14729F,1,ME,259808,6.0,1
2022002945,2022,9999999999,1,ME,266964B,6.0,3
2022058448,2022,9999999999,1,ZZ,UNKNOWN,7.0,1
2022063806,2022,1GRAA0625J,1,PA,PT539D4,7.0,1
2022087288,2022,2B953VT297,1,PA,PT3210X,7.0,2
2022004619,2022,9999999999,1,FL,QA07GN,7.0,1
2022077818,2022,50PBU1625H,1,PA,XLX5038,6.0,1
2022087575,2022,1DGRS1226W,1,PA,XZ51883,3.0,2
